name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
		OtherNonCurrentAssets,"77,265,000","33,276,000","33,833,000","32,247,000","19,618,000","31,216,000"
TotalLiabilitiesNetMinorityInterest,"865,416,000","764,637,000","879,932,000","967,348,000","1,434,431,000","1,442,747,000"
	CurrentLiabilities,"359,118,000","294,867,000","306,783,000","462,108,000","755,591,000","346,853,000"
		PayablesAndAccruedExpenses,"215,030,000","181,141,000","179,511,000","176,633,000","202,497,000","187,446,000"
			Payables,"138,367,000","124,313,000","127,069,000","129,570,000","131,871,000","139,029,000"
				AccountsPayable,"102,335,000","86,045,000","92,759,000","87,608,000","89,869,000","94,028,000"
				TotalTaxPayable,"36,032,000","38,268,000","34,310,000","41,962,000","29,432,000","31,435,000"
				DuetoRelatedPartiesCurrent,,,,"0","12,570,000","13,566,000"
			CurrentAccruedExpenses,"76,663,000","56,828,000","52,442,000","47,063,000","70,626,000","48,417,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"72,465,000","77,181,000","80,189,000","224,230,000","111,390,000","78,245,000"
		CurrentDebtAndCapitalLeaseObligation,"71,623,000","36,545,000","47,083,000","61,245,000","441,704,000","81,162,000"
			CurrentDebt,"71,623,000","36,545,000","47,083,000","61,245,000","441,704,000","81,162,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"506,298,000","469,770,000","573,149,000","505,240,000","678,840,000","1,095,894,000"
		LongTermDebtAndCapitalLeaseObligation,"330,701,000","346,953,000","416,970,000","348,348,000","394,511,000","824,179,000"
			LongTermDebt,"330,701,000","346,953,000","416,970,000","348,348,000","394,511,000","824,179,000"
		NonCurrentDeferredLiabilities,"4,837,000","4,635,000","9,318,000","7,452,000","7,112,000","6,761,000"
			NonCurrentDeferredTaxesLiabilities,"4,837,000","4,635,000","9,318,000","7,452,000","7,112,000","6,761,000"
		NonCurrentAccruedExpenses,,,,"0","145,384,000","122,013,000"
		EmployeeBenefits,"118,852,000","102,077,000","130,160,000","135,339,000","119,549,000","132,879,000"
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"118,852,000","102,077,000","130,160,000","135,339,000","119,549,000","132,879,000"
		OtherNonCurrentLiabilities,"51,908,000","16,105,000","16,701,000","14,101,000","12,284,000","10,062,000"
TotalEquityGrossMinorityInterest,"951,633,000","926,984,000","847,392,000","768,823,000","324,542,000","319,956,000"
	StockholdersEquity,"919,247,000","894,872,000","814,728,000","735,865,000","291,287,000","287,623,000"
		CapitalStock,"883,000","75,000","74,000","74,000","131,058,000","131,054,000"
			PreferredStock,"807,000",,,"0","131,036,000","131,036,000"
			CommonStock,"76,000","75,000","74,000","74,000","22,000","18,000"
		AdditionalPaidInCapital,"910,507,000","910,890,000","894,727,000","880,576,000","309,110,000","264,561,000"
		RetainedEarnings,"151,039,000","72,946,000","1,618,000","-53,951,000","-81,647,000","-66,934,000"
		TreasuryStock,"31,154,000",,,,,
		GainsLossesNotAffectingRetainedEarnings,"-112,028,000","-89,039,000","-81,691,000","-90,834,000","-67,234,000","-41,058,000"
	MinorityInterest,"32,386,000","32,112,000","32,664,000","32,958,000","33,255,000","32,333,000"
TotalCapitalization,"1,249,948,000","1,241,825,000","1,231,698,000","1,084,213,000","685,798,000","1,111,802,000"
PreferredStockEquity,"807,000",,,,"131,036,000","131,036,000"
CommonStockEquity,"918,440,000","894,872,000","814,728,000","735,865,000","160,251,000","156,587,000"
NetTangibleAssets,"224,397,000","206,944,000","147,553,000","66,636,000","-389,386,000","-409,369,000"
WorkingCapital,"383,700,000","369,134,000","380,293,000","202,423,000","-84,068,000","289,938,000"
InvestedCapital,"1,320,764,000","1,278,370,000","1,278,781,000","1,145,458,000","996,466,000","1,061,928,000"
TangibleBookValue,"223,590,000","206,944,000","147,553,000","66,636,000","-520,422,000","-540,405,000"
TotalDebt,"402,324,000","383,498,000","464,053,000","409,593,000","836,215,000","905,341,000"
NetDebt,"402,324,000","383,498,000","464,053,000","333,535,000","781,806,000","857,674,000"
ShareIssued,"75,619,587","74,760,062","74,479,319","74,093,598","74,093,598","74,093,598"
OrdinarySharesNumber,"74,435,621","74,760,062","74,479,319","74,093,598","74,093,598","74,093,598"
TreasurySharesNumber,"1,183,966",,,,,
