name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,09/30/2007,09/30/2006
TaxProvision,"6,331,000","957,000","2,001,000","2,159,000","1,214,000","1,493,000","712,000","1,859,000","-924,000","1,454,000","1,592,000","1,740,000","1,075,000","1,782,000","1,960,000","1,925,000","1,786,000","1,971,000","1,283,000","1,295,000","876,000","1,113,000","1,024,000","971,000","1,304,000","727,000","-1,373,000","781,000","233,000","927,000","747,000","1,033,000","-104,000","-87,000","-2,399,000","622,000","294,000","1,613,000","1,271,000","1,357,000","1,793,000","1,119,000","0","855,000","703,000","-385,000","282,000","1,638,000","769,000","891,000"
NetIncomeCommonStockholders,"118,412,000","28,267,000","31,231,000","25,957,000","32,957,000","28,635,000","31,513,000","27,850,000","22,768,000","21,053,000","19,313,000","21,033,000","27,401,000","21,656,000","25,292,000","22,766,000","19,669,000","20,822,000","19,803,000","1,603,000","13,035,000","10,845,000","8,726,000","11,036,000","10,333,000","47,662,000","14,539,000","19,197,000","15,142,000","21,126,000","16,682,000","16,019,000","7,457,000","-46,325,000","-33,254,000","15,655,000","16,655,000","16,663,000","15,806,000","15,205,000","13,574,000","13,511,000","11,052,000","6,186,000","3,937,000","3,400,000","11,755,000","12,212,000","9,479,000","11,962,000"
	NetIncome,"118,412,000","28,267,000","31,231,000","25,957,000","32,957,000","28,635,000","31,513,000","27,850,000","22,768,000","21,053,000","19,313,000","21,033,000","27,401,000","21,656,000","25,292,000","22,766,000","19,669,000","20,822,000","19,803,000","1,603,000","13,035,000","10,845,000","8,726,000","11,036,000","10,333,000","47,662,000","14,539,000","19,197,000","15,142,000","21,126,000","16,682,000","16,019,000","7,457,000","-46,325,000","-33,254,000","15,655,000","16,655,000","16,663,000","15,806,000","15,205,000","13,574,000","13,511,000","11,052,000","6,186,000","3,937,000","3,400,000","11,755,000","12,212,000","9,479,000","11,962,000"
		NetIncomeIncludingNoncontrollingInterests,"118,412,000","28,267,000","31,231,000","25,957,000","32,957,000","28,635,000","31,513,000","27,850,000","22,768,000","21,053,000","19,313,000","21,033,000","27,401,000","21,656,000","25,292,000","22,766,000","19,669,000","20,822,000","19,803,000","1,603,000","13,035,000","10,845,000","8,726,000","11,036,000","10,333,000","47,662,000","14,539,000","19,197,000","15,142,000","21,126,000","16,682,000","16,019,000","7,457,000","-46,325,000","-33,254,000","15,655,000","16,655,000","16,663,000","15,806,000","15,205,000","13,574,000","13,511,000","11,052,000","6,186,000","3,937,000","3,400,000","11,755,000","12,212,000","9,479,000","11,962,000"
			NetIncomeContinuousOperations,"118,412,000","28,267,000","31,231,000","25,957,000","32,957,000","28,635,000","31,513,000","27,850,000","22,768,000","21,053,000","19,313,000","21,033,000","27,401,000","21,656,000","25,292,000","22,766,000","19,669,000","20,822,000","19,803,000","1,603,000","13,035,000","10,845,000","8,726,000","11,036,000","10,333,000","47,662,000","14,539,000","19,197,000","15,142,000","21,126,000","16,682,000","16,019,000","7,457,000","-46,325,000","-33,254,000","15,655,000","16,655,000","16,663,000","15,806,000","15,205,000","13,574,000","13,511,000","11,052,000","6,186,000","3,937,000","3,400,000","11,755,000","12,212,000","9,479,000","11,962,000"
DilutedNIAvailtoComStockholders,"118,412,000","28,267,000","31,231,000","25,957,000","32,957,000","28,635,000","31,513,000","27,850,000","22,768,000","21,053,000","19,313,000","21,033,000","27,401,000","21,656,000","25,292,000","22,766,000","19,669,000","20,822,000","19,803,000","1,603,000","13,035,000","10,845,000","8,726,000","11,036,000","10,333,000","47,662,000","14,539,000","19,197,000","15,142,000","21,126,000","16,682,000","16,019,000","7,457,000","-46,325,000","-33,254,000","15,655,000","16,655,000","16,663,000","15,806,000","15,205,000","13,574,000","13,511,000","11,052,000","6,186,000","3,937,000","3,400,000","11,755,000","12,212,000","9,479,000","11,962,000"
BasicEPS,,"0.76","0.84","0.7","0.89","0.78","0.86","0.76","0.62","0.56","0.52","0.56","0.73","0.58","0.69","0.63","0.55","0.58","0.55","0.05","0.37","0.31","0.25","0.31",,"1.36","0.42","0.55","0.44","0.61","0.48","0.46","0.22","-1.35","-0.97","0.46",,"0.49","0.47","0.45",,"0.44","0.357","0.2",,"0.11","0.38","0.395","0.306","0.386"
DilutedEPS,,"0.75","0.83","0.69","0.88","0.76","0.84","0.75","0.6","0.55","0.51","0.55","0.72","0.57","0.67","0.61","0.53","0.56","0.54","0.04","0.36","0.3","0.24","0.31",,"1.33","0.41","0.55","0.43","0.61","0.48","0.46","0.22","-1.35","-0.97","0.45",,"0.49","0.46","0.44",,"0.43","0.351","0.197",,"0.11","0.374","0.388","0.301","0.38"
BasicAverageShares,,"36,987,000","37,011,000","36,913,000","36,836,000","36,891,000","36,841,000","36,625,000","36,828,000","37,275,000","37,477,000","37,447,000","37,334,000","37,116,000","36,848,000","36,404,000","36,075,000","35,964,000","35,812,000","35,579,000","35,431,000","35,406,000","35,349,000","35,230,000",,"35,078,000","34,882,000","34,674,000","34,629,000","34,596,000","34,517,000","34,485,000","34,469,000","34,440,000","34,396,000","34,223,000",,"33,969,000","33,768,000","33,761,000",,"30,901,000","30,953,000","30,953,000",,"30,472,000","30,953,000","30,953,000","30,953,000","30,953,000"
DilutedAverageShares,,"37,797,000","37,763,000","37,529,000","37,511,000","37,539,000","37,471,000","37,140,000","37,766,000","38,055,000","38,156,000","38,163,000","38,118,000","37,872,000","37,805,000","37,330,000","37,259,000","37,089,000","36,826,000","36,315,000","36,320,000","36,110,000","35,917,000","35,587,000",,"35,790,000","35,583,000","35,138,000","35,000,000","34,909,000","34,804,000","34,670,000","34,624,000","34,440,000","34,544,000","34,502,000",,"34,232,000","34,450,000","34,351,000",,"31,365,000","31,456,000","31,456,000",,"30,932,000","31,456,000","31,456,000","31,456,000","31,456,000"
TotalOperatingIncomeAsReported,"121,342,000","27,225,000","32,064,000","29,987,000","32,066,000","32,303,000","32,518,000","25,754,000","22,422,000","24,515,000","22,233,000","24,654,000","29,703,000","26,960,000","25,395,000","23,776,000","22,003,000","19,778,000","14,778,000","13,247,000","13,810,000","11,987,000","9,594,000","11,769,000","11,070,000","48,082,000","13,617,000","18,548,000","15,826,000","20,873,000","17,408,000","16,683,000","6,921,000","-47,328,000","-36,655,000","16,246,000","17,473,000","17,807,000","17,712,000","16,949,000","15,153,000","14,773,000","11,073,000","7,151,000","5,015,000","3,154,000","11,843,000","13,680,000","10,777,000","13,241,000"
TotalExpenses,"1,519,703,000","383,985,000","394,137,000","369,309,000","372,272,000","366,325,000","370,243,000","351,338,000","322,905,000","307,698,000","313,063,000","332,659,000","340,751,000","339,877,000","325,761,000","308,267,000","254,385,000","232,010,000","218,260,000","202,322,000","192,646,000","177,466,000","177,606,000","177,556,000","149,014,000","157,726,000","164,945,000","159,600,000","148,203,000","146,103,000","154,843,000","141,942,000","132,460,000","130,724,000","133,264,000","170,101,000","172,875,000","177,044,000","166,919,000","156,791,000","142,258,000","122,117,000","103,320,000","89,867,000","77,385,000","79,291,000","116,161,000","132,181,000","107,443,000","109,625,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"118,412,000","28,267,000","31,231,000","25,957,000","32,957,000","28,635,000","31,513,000","27,850,000","22,768,000","21,053,000","19,313,000","21,033,000","27,401,000","21,656,000","25,292,000","22,766,000","19,669,000","20,822,000","19,803,000","1,603,000","13,035,000","10,845,000","8,726,000","11,036,000","10,333,000","47,662,000","14,539,000","19,197,000","15,142,000","21,126,000","16,682,000","16,019,000","7,457,000","-46,325,000","-33,254,000","15,655,000","16,655,000","16,663,000","15,806,000","15,205,000","13,574,000","13,511,000","11,052,000","6,186,000","3,937,000","3,400,000","11,755,000","12,212,000","9,479,000","11,962,000"
NormalizedIncome,"120,253,540.447","28,274,738.024","32,185,804","27,760,031.05","31,968,415.381","31,837,344","32,221,920","25,066,861","23,408,210","23,330,464","22,240,188","22,845,158","28,403,663.366","25,117,370","23,479,260","21,220,019","20,283,226.521","17,072,840","14,013,126","8,416,600","12,949,730.429","10,923,909","9,683,650","11,133,414","10,395,156.054","10,333,455","15,051,200","11,811,715","11,828,979.642","9,249,674","12,227,165","15,580,290.582","9,624,100","8,424,179.092","-34,043,074.804","15,741,560.791","16,521,359.077","16,603,736.759","16,415,952.216","15,548,356.479","13,358,469.578","13,600,580.793","11,026,000","6,238,714.103","4,182,214.009","4,963,250","11,345,816.233","11,995,093.718","9,702,840.554","11,966,653.388"
InterestIncome,"8,009,000","2,042,000","1,940,000","2,098,000","1,929,000","2,144,000","1,182,000","1,444,000","1,371,000","1,149,000","596,000","809,000","507,000","713,000","320,000","437,000","425,000","213,000","455,000","442,000","297,000","258,000","324,000","374,000","531,000","560,000","338,000","364,000","322,000","302,000","271,000","188,000","216,000","209,000","224,000","195,000","139,000","143,000","114,000","98,000","73,000","62,000","81,000","111,000","134,000","165,000","149,000","308,000","379,000","332,000"
InterestExpense,"4,520,000","238,000","181,000","2,393,000","1,708,000","1,423,000","1,616,000","634,000","1,107,000","820,000","826,000","853,000","804,000","641,000","555,000","1,322,000","413,000","335,000","419,000","402,000","241,000","125,000","117,000","133,000","147,000","172,000","188,000","206,000","222,000","239,000","263,000","286,000","221,000","64,000","68,000","74,000","75,000","81,000","90,000","111,000","103,000","108,000","128,000","161,000","220,000","288,000","374,000","384,000","666,000","715,000"
NetInterestIncome,"3,489,000","1,804,000","1,759,000","-295,000","221,000","721,000","-434,000","810,000","264,000","329,000","-230,000","-44,000","-297,000","72,000","-235,000","-885,000","12,000","-122,000","36,000","40,000","56,000","133,000","207,000","241,000","384,000","388,000","150,000","158,000","100,000","63,000","8,000","-98,000","-5,000","145,000","156,000","121,000","64,000","62,000","24,000","-13,000","-30,000","-46,000","-47,000","-50,000","-86,000","-123,000","-225,000","-76,000","-287,000","-383,000"
EBIT,"129,263,000","29,462,000","33,413,000","30,509,000","35,879,000","31,551,000","33,841,000","30,343,000","22,951,000","23,327,000","21,731,000","23,626,000","29,280,000","24,079,000","27,807,000","26,013,000","21,868,000","23,128,000","21,505,000","3,300,000","14,152,000","12,083,000","9,867,000","12,140,000","11,784,000","48,561,000","13,354,000","20,184,000","15,597,000","22,292,000","17,692,000","17,338,000","7,574,000","-46,348,000","-35,585,000","16,351,000","17,024,000","18,357,000","17,167,000","16,673,000","15,470,000","14,738,000","11,180,000","7,202,000","4,860,000","3,303,000","12,411,000","14,234,000","10,914,000","13,568,000"
EBITDA,"159,801,000"
ReconciledCostOfRevenue,"1,455,743,000","366,874,000","377,059,000","353,309,000","358,501,000","352,193,000","357,516,000","336,901,000","306,346,000","295,280,000","299,906,000","316,981,000","325,694,000","322,791,000","308,110,000","292,435,000","242,546,000","219,711,000","204,545,000","190,422,000","181,907,000","167,796,000","167,292,000","168,819,000","142,309,000","150,374,000","158,032,000","152,906,000","142,863,000","139,302,000","149,056,000","140,903,000","127,537,000","124,138,000","87,680,000","163,463,000","166,363,000","169,528,000","160,968,000","151,964,000","138,031,000","117,761,000","99,520,000","86,058,000","74,049,000","75,299,000","111,173,000","122,537,000","102,460,000","105,598,000"
ReconciledDepreciation,"30,538,000","7,836,000","7,814,000","7,465,000","7,423,000","7,521,000","7,588,000","7,412,000","7,799,000","7,023,000","6,846,000","7,419,000","6,837,000","6,198,000","5,645,000","5,113,000","4,564,000","4,499,000","4,231,000","4,063,000","3,625,000","3,373,000","3,041,000","2,908,000","2,901,000","2,676,000","2,544,000","2,537,000","2,514,000","2,553,000","2,547,000","2,597,000","2,430,000","2,147,000","2,537,000","2,599,000","2,368,000","2,325,000","2,270,000","2,232,000","2,168,000","2,006,000","1,967,000","2,068,000","2,088,000","2,178,000","2,251,000","2,210,000","1,764,000","1,530,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"118,412,000","28,267,000","31,231,000","25,957,000","32,957,000","28,635,000","31,513,000","27,850,000","22,768,000","21,053,000","19,313,000","21,033,000","27,401,000","21,656,000","25,292,000","22,766,000","19,669,000","20,822,000","19,803,000","1,603,000","13,035,000","10,845,000","8,726,000","11,036,000","10,333,000","47,662,000","14,539,000","19,197,000","15,142,000","21,126,000","16,682,000","16,019,000","7,457,000","-46,325,000","-33,254,000","15,655,000","16,655,000","16,663,000","15,806,000","15,205,000","13,574,000","13,511,000","11,052,000","6,186,000","3,937,000","3,400,000","11,755,000","12,212,000","9,479,000","11,962,000"
TotalUnusualItemsExcludingGoodwill,"-1,940,000","-8,000","-1,004,000","-1,953,000","1,025,000","-3,378,000","-740,000","2,983,000","-877,000","-2,428,000","-3,124,000","-1,934,000","-1,042,000","-3,702,000","1,945,000","1,657,000","-670,000","3,980,000","6,166,000","-11,356,000","91,000","-87,000","-1,070,000","-106,000","-70,000","37,897,000","-788,000","7,685,000","3,364,000","12,397,000","4,655,000","467,000","-3,334,000","-54,852,000","846,000","-90,000","136,000","65,000","-659,000","-374,000","244,000","-97,000","26,000","-60,000","-289,000","-2,405,000","419,000","246,000","-242,000","-5,000"
TotalUnusualItems,"-1,940,000","-8,000","-1,004,000","-1,953,000","1,025,000","-3,378,000","-740,000","2,983,000","-877,000","-2,428,000","-3,124,000","-1,934,000","-1,042,000","-3,702,000","1,945,000","1,657,000","-670,000","3,980,000","6,166,000","-11,356,000","91,000","-87,000","-1,070,000","-106,000","-70,000","37,897,000","-788,000","7,685,000","3,364,000","12,397,000","4,655,000","467,000","-3,334,000","-54,852,000","846,000","-90,000","136,000","65,000","-659,000","-374,000","244,000","-97,000","26,000","-60,000","-289,000","-2,405,000","419,000","246,000","-242,000","-5,000"
NormalizedEBITDA,"161,741,000","37,306,000","42,231,000","39,927,000","42,277,000","42,450,000","42,169,000","34,772,000","31,627,000","32,778,000","31,701,000","32,979,000","37,159,000","33,979,000","31,507,000","29,469,000","27,102,000","23,647,000","19,570,000","18,719,000","17,686,000","15,543,000","13,978,000","15,154,000","14,755,000","13,340,000","16,686,000","15,036,000","14,747,000","12,448,000","15,584,000","19,468,000","13,338,000","10,651,000","-33,894,000","19,040,000","19,256,000","20,617,000","20,096,000","19,279,000","17,394,000","16,841,000","13,121,000","9,330,000","7,237,000","7,886,000","14,243,000","16,198,000","12,920,000","15,103,000"
TaxRateForCalcs,"0.051","0.033","0.049","0.077","0.036","0.052","0.042","0.067","0.27","0.062","0.063","0.063","0.038","0.065","0.068","0.067","0.083","0.058","0.061","0.4","0.063","0.093","0.105","0.081","0.112","0.015","0.35","0.039","0.015","0.042","0.043","0.061","0.35","0.002","0.067","0.038","0.017","0.088","0.074","0.082","0.117","0.076","0","0.121","0.152","0.35","0.023","0.118","0.075","0.069"
TaxEffectOfUnusualItems,"-98,459.553","-261.976","-49,196","-149,968.95","36,415.381","-175,656","-31,080","199,861","-236,790","-150,536","-196,812","-121,842","-39,336.634","-240,630","132,260","111,019","-55,773.479","230,840","376,126","-4,542,400","5,730.429","-8,091","-112,350","-8,586","-7,843.946","568,455","-275,800","299,715","50,979.642","520,674","200,165","28,290.582","-1,166,900","-102,820.908","56,925.196","-3,439.209","2,359.077","5,736.759","-49,047.784","-30,643.521","28,469.578","-7,419.207","0","-7,285.897","-43,785.991","-841,750","9,816.233","29,093.718","-18,159.446","-346.612"
