name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,407,331,000","1,405,054,000",
		AssetsHeldForSaleCurrent,"3,543,519,000","3,637,447,000","3,806,098,000","12,332,698,000","15,424,359,000","0","10,576,140,000","0","5,825,879,000","0","0","0","4,406,213,000","4,324,907,000","4,333,424,000","4,623,785,000","4,623,785,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		HedgingAssetsCurrent,"140,543,000","136,432,000","164,122,000","176,245,000","182,760,000","81,301,000","291,838,000","0","209,327,000","237,899,000","173,255,000","191,447,000","127,808,000","66,029,000","72,602,000","44,938,000","21,307,000","65,374,000","80,740,000","102,628,000","124,635,000","137,895,000","144,501,000","102,589,000","108,339,000","108,944,000","163,024,000","252,620,000","243,434,000","160,308,000","228,676,000",,,,,,,,,"227,540,000",,,,"52,640,000"
		OtherCurrentAssets,"3,194,387,000","3,578,597,000","3,794,825,000","4,357,929,000","3,943,303,000","18,243,849,000","3,630,653,000","1,406,829,000","3,787,699,000","3,518,496,000","2,982,270,000","3,402,427,000","3,626,936,000","3,292,955,000","3,536,392,000","4,582,811,000","4,082,454,000","7,024,994,000","8,128,204,000","11,684,458,000","7,933,898,000","9,689,890,000","7,436,171,000","7,024,057,000","15,661,902,000","16,347,992,000","14,473,260,000","17,238,847,000","8,023,917,000","13,452,419,000","6,285,377,000","8,792,463,000","7,442,947,000","9,128,729,000","9,394,056,000","8,409,333,000","4,251,522,000","3,628,616,000","3,506,552,000","2,839,571,000","9,171,092,000","2,490,412,000","2,558,925,000","2,655,143,000"
	TotalNonCurrentAssets,"136,748,252,000","138,387,776,000","139,862,840,000","135,031,766,000","134,364,795,000","131,095,736,000","135,666,659,000","99,835,885,000","135,616,632,000","139,336,851,000","140,018,916,000","140,880,709,000","141,226,777,000","148,426,670,000","145,774,456,000","120,387,941,000","120,049,383,000","122,230,976,000","119,769,891,000","117,976,955,000","113,926,357,000","118,761,698,000","114,951,127,000","112,142,259,000","99,305,567,000","102,896,576,000","101,070,854,000","127,853,035,000","135,898,111,000","132,532,393,000","128,111,587,000","126,479,760,000","122,077,355,000","115,937,767,000","115,015,382,000","114,095,054,000","106,128,289,000","105,484,112,000","104,523,802,000","118,678,731,000","103,684,700,000","104,709,061,000","111,655,819,000","124,316,422,000"
		NetPPE,"33,315,874,000","32,318,262,000","32,488,848,000","32,661,511,000","32,370,392,000","24,865,284,000","27,159,926,000","194,402,000","27,965,837,000","26,083,522,000","26,445,590,000","26,605,842,000","26,812,925,000","27,112,974,000","27,616,493,000","29,862,632,000","29,479,479,000","31,257,402,000","32,069,507,000","31,792,445,000","31,105,548,000","30,638,166,000","30,274,168,000","29,924,842,000","30,038,514,000","30,037,605,000","29,538,499,000","47,407,102,000","58,134,848,000","55,701,063,000","54,387,027,000","53,214,861,000","50,879,835,000","48,879,912,000","48,219,168,000","46,682,498,000","8,046,905,000","77,921,840,000","77,464,192,000","74,434,654,000","75,722,795,000","77,147,681,000","80,511,252,000","78,635,566,000"
			GrossPPE,,,,,"67,648,667,000",,,,"68,601,031,000",,,,"64,580,051,000",,,,"62,305,579,000",,,,"55,393,946,000",,,,"52,802,845,000",,,"68,041,355,000",,,,"78,953,978,000",,,,"71,137,004,000",,,,"140,397,960,000",,,,"142,848,317,000"
				Properties,,,,,"67,648,667,000",,,,"68,601,032,000",,,,"64,580,052,000",,,,"49,846,476,000",,,,"47,132,477,000",,,,"45,063,926,000",,,"46,967,058,000",,,,,,,,,,,,,,,,
				ConstructionInProgress,,,,,,,,,,,,,,,,,"12,459,104,000",,,,"8,261,470,000",,,,"7,738,919,000",,,"21,074,297,000",,,,,,,,,,,,,,,,
			AccumulatedDepreciation,,,,,"-35,278,275,000",,,,"-40,635,194,000",,,,"-37,767,126,000",,,,"-32,826,100,000",,,,"-24,288,398,000",,,,"-22,764,331,000",,,"-20,634,253,000",,,,"-25,739,117,000",,,,"-24,454,506,000",,,,"-65,963,306,000",,,,"-64,212,751,000"
		GoodwillAndOtherIntangibleAssets,"655,041,000","633,198,000","629,840,000","791,049,000","649,650,000","607,593,000","711,660,000","0","749,762,000","672,697,000","740,263,000","744,441,000","761,739,000","958,767,000","913,971,000","982,493,000","935,151,000","1,143,359,000","1,160,758,000","1,316,577,000","1,365,371,000","784,884,000","713,728,000","762,956,000","788,582,000","1,113,299,000","1,147,495,000","2,300,740,000","2,356,490,000","2,979,509,000","2,921,842,000","2,371,367,000","2,372,693,000","2,170,793,000","2,177,674,000","2,263,972,000","77,481,084,000","544,631,000","535,265,000","1,842,309,000","509,589,000","502,983,000","383,909,000",
			OtherIntangibleAssets,,,,,,,,,,,,,,,,,"935,151,000",,,,"1,365,371,000",,,,"788,582,000",,,"2,300,740,000",,"2,979,509,000","2,921,842,000","2,371,367,000","2,372,693,000","2,170,793,000","2,177,674,000","2,263,972,000",,,,"1,842,309,000",,"502,983,000","383,909,000",
		InvestmentsAndAdvances,"29,671,305,000","63,728,101,000","64,180,552,000","62,884,572,000","62,377,634,000","79,430,121,000","80,427,397,000","63,249,006,000","79,700,995,000","81,874,005,000","80,569,378,000","80,319,882,000","79,528,315,000","82,902,329,000","79,608,452,000","51,789,825,000","50,474,489,000","51,307,190,000","51,578,770,000","50,969,953,000","49,173,049,000","46,365,932,000","43,624,393,000","42,827,084,000","41,311,611,000","41,668,934,000","39,184,536,000","50,637,513,000","55,338,927,000","5,198,683,000","51,977,644,000","5,154,348,000","5,491,215,000","5,610,355,000","5,939,674,000","5,494,552,000","729,155,000","8,298,725,000","7,927,238,000","10,143,763,000","7,120,503,000","6,221,477,000","6,736,428,000","6,650,040,000"
			LongTermEquityInvestment,,,,,"26,536,198,000",,,,"27,289,705,000",,,,"25,173,611,000",,,,"20,685,806,000",,,,"18,608,682,000",,,,,,,,,,,,,,,,,,,,,,,"5,648,132,000"
				InvestmentsinAssociatesatCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,648,132,000"
			InvestmentinFinancialAssets,"558,386,000","34,934,465,000","35,734,563,000","34,604,198,000","35,841,436,000","51,785,520,000","51,379,663,000","2,658,229,000","52,411,290,000","53,161,123,000","52,558,211,000","52,923,743,000","54,354,704,000","55,581,727,000","55,397,724,000","28,647,197,000","29,788,683,000","29,465,812,000","30,557,461,000","30,291,884,000","30,564,367,000","26,886,491,000","24,458,360,000","24,156,679,000","23,896,617,000","24,831,166,000","24,070,494,000","45,239,214,000","50,753,827,000","411,859,000","47,211,881,000","583,389,000","796,050,000","829,014,000","1,142,683,000","769,905,000",,,,,,,,"1,001,908,000"
				FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,,,,,"1,447,150,000",,,,"1,418,659,000",,,,"1,357,923,000",,,,"1,177,260,000",,,,"1,370,371,000",,,,,,,,,,,,,,,,,,,,,,,
				AvailableForSaleSecurities,"558,386,000","34,934,465,000","35,734,563,000","34,604,198,000","34,394,286,000","51,785,520,000","51,379,663,000","2,658,229,000","50,992,631,000","53,161,123,000","52,558,211,000","52,923,743,000","52,996,781,000","55,581,727,000","55,397,724,000","28,647,197,000","28,611,423,000","29,465,812,000","30,557,461,000","30,291,884,000","29,193,996,000","26,886,491,000","24,458,360,000","24,156,679,000","23,896,617,000","24,831,166,000","24,070,494,000","45,239,214,000",,,,,,,,,,,,,,,,
			OtherInvestments,"29,112,919,000","28,793,636,000","28,445,989,000","28,280,374,000",,"27,644,601,000","29,047,734,000","60,590,777,000",,"28,712,882,000","28,011,167,000","27,396,139,000",,"27,320,602,000","24,210,728,000","23,142,628,000",,"21,841,378,000","21,021,309,000","20,678,069,000",,"19,479,441,000","19,166,033,000","18,670,405,000","17,414,994,000","16,837,768,000","15,114,042,000","5,398,299,000","4,585,100,000","4,786,824,000","4,765,763,000","4,570,959,000","4,695,165,000","4,781,341,000","4,796,991,000","4,724,647,000",,,,,,,,
		FinancialAssets,"181,257,000","147,752,000","179,516,000","182,614,000","188,262,000","249,723,000","300,300,000","0","216,904,000","222,825,000","145,091,000","0","100,965,000","56,594,000","68,936,000","54,517,000","25,004,000","69,964,000","82,877,000","102,764,000","135,276,000","145,052,000","155,591,000","236,063,000","107,816,000","113,244,000","127,915,000","223,099,000","229,556,000","143,263,000","200,946,000",,,,,,,,,"228,020,000",,,,"40,050,000"
		NonCurrentAccountsReceivable,"1,169,172,000","476,475,000","475,717,000","266,885,000","274,218,000","2,347,412,000","2,130,741,000","1,564,599,000","2,569,086,000","4,178,736,000","4,611,588,000","5,987,519,000","6,112,305,000","6,618,178,000","6,559,142,000","7,489,386,000","7,524,234,000","6,941,180,000","6,761,430,000","6,806,687,000","7,819,480,000","8,042,655,000","7,668,246,000","4,704,299,000","7,142,231,000","6,163,164,000","6,065,187,000","8,414,572,000","14,659,228,000","7,642,380,000","8,754,420,000","1,478,994,000",,"2,084,401,000","1,443,349,000","1,470,215,000","742,090,000","674,546,000","706,047,000","7,626,610,000",,,,"3,639,068,000"
		NonCurrentNoteReceivables,"10,803,423,000","12,109,489,000","12,614,254,000","9,862,645,000","9,971,857,000","8,798,230,000","9,157,613,000","28,597,843,000","7,794,891,000","8,577,399,000","9,417,358,000","9,363,664,000","10,158,306,000","10,642,372,000","11,051,956,000","12,725,993,000","14,400,394,000","15,182,252,000","12,689,006,000","13,547,543,000","11,988,543,000","11,426,663,000","10,901,047,000","11,709,187,000","12,335,838,000","12,347,683,000","12,320,308,000","7,747,286,000",,,,"7,651,336,000",,,,,"8,401,831,000","9,193,832,000","9,889,691,000",,"10,755,719,000","20,836,920,000","13,100,107,000","4,354,362,000"
		NonCurrentDeferredAssets,"6,891,416,000","506,781,000","529,401,000","602,646,000","553,409,000","0","724,298,000",,"1,010,810,000",,,,,,,,,,,,,,,,,,,,,,,"5,774,286,000","4,045,731,000","4,298,732,000","4,004,634,000","4,338,682,000","4,975,174,000","4,608,278,000","4,629,558,000","20,638,401,000",,"0","2,837,570,000","24,387,984,000"
			NonCurrentDeferredTaxesAssets,"6,891,416,000","506,781,000","529,401,000","602,646,000","553,409,000","0","724,298,000",,"1,010,810,000",,,,,,,,,,,,,,,,,,,,,,,"5,774,286,000",,,,"4,338,682,000",,,,,,,"2,837,570,000",
		NonCurrentPrepaidAssets,"179,879,000","208,607,000","183,494,000","480,776,000","459,563,000","395,903,000","350,686,000","1,255,184,000","959,838,000","1,526,466,000","1,558,386,000","1,565,664,000","1,617,916,000","1,700,895,000","1,501,010,000","1,422,861,000","1,215,532,000","1,631,934,000","1,419,895,000","1,281,116,000","1,140,633,000","1,416,582,000","1,003,352,000","748,793,000","490,429,000","413,669,000","4,000,000","4,000,000",,"4,000,000",,,,"95,988,000",,,"7,142,000","4,000,000","4,000,000",,,,,
		OtherNonCurrentAssets,"53,880,885,000","28,259,111,000","28,581,218,000","27,299,068,000","27,519,810,000","14,401,470,000","14,704,038,000","4,974,851,000","14,648,509,000","16,201,201,000","16,531,262,000","16,293,697,000","16,134,306,000","18,434,561,000","18,454,496,000","16,060,234,000","15,995,100,000","14,697,695,000","14,007,648,000","12,159,870,000","11,198,457,000","19,941,764,000","20,610,602,000","21,229,035,000","7,090,546,000","11,038,978,000","12,682,914,000","11,118,723,000","5,179,062,000","60,863,495,000","9,869,708,000","50,834,568,000","59,287,881,000","52,797,586,000","53,230,883,000","53,845,135,000","5,744,908,000","4,238,260,000","3,367,811,000","3,764,974,000","9,576,094,000",,"8,086,553,000","6,609,352,000"
TotalLiabilitiesNetMinorityInterest,"106,072,569,000","113,668,890,000","119,110,332,000","122,230,005,000","125,201,260,000","133,965,385,000","131,525,116,000","72,404,411,000","130,222,827,000","124,515,539,000","124,333,833,000","122,203,324,000","126,434,502,000","123,804,438,000","122,267,608,000","111,228,506,000","107,906,186,000","100,419,053,000","94,348,819,000","94,430,700,000","90,824,201,000","90,682,574,000","80,644,511,000","79,828,954,000","77,696,493,000","74,806,089,000","74,368,150,000","104,914,985,000","90,994,608,000","88,736,983,000","86,313,425,000","85,940,111,000","75,206,649,000","70,024,010,000","72,752,294,000","76,370,590,000","57,161,312,000","55,194,116,000","54,282,600,000","77,211,240,000","45,554,123,000","44,826,232,000","50,941,529,000","79,823,805,000"
	CurrentLiabilities,"25,638,057,000","24,809,126,000","28,495,210,000","33,346,924,000","36,523,971,000","40,688,447,000","33,372,521,000","9,730,349,000","34,186,952,000","28,050,655,000","27,599,784,000","26,258,102,000","31,138,510,000","31,379,606,000","31,264,357,000","29,179,270,000","28,099,643,000","22,549,470,000","22,287,629,000","22,083,808,000","19,284,008,000","26,648,242,000","21,800,994,000","19,701,854,000","25,697,889,000","22,887,300,000","23,929,666,000","30,849,647,000","31,468,813,000","29,854,369,000","26,434,096,000","26,124,809,000","20,671,692,000","16,259,831,000","19,311,171,000","18,369,509,000","15,358,356,000","14,063,182,000","11,581,110,000","13,375,874,000","10,536,153,000","10,957,978,000","12,883,561,000","24,162,113,000"
		PayablesAndAccruedExpenses,"9,779,075,000","8,417,892,000","8,170,634,000","7,454,804,000","10,262,682,000","10,970,417,000","10,379,831,000","1,427,437,000","14,337,850,000","14,759,667,000","13,133,081,000","12,548,729,000","13,253,278,000","13,845,543,000","13,884,890,000","12,391,313,000","12,313,871,000","11,238,357,000","10,867,950,000","10,145,776,000","9,973,723,000","14,153,924,000","12,629,715,000","10,625,309,000","11,177,788,000","7,880,231,000","10,425,951,000","12,896,663,000","8,363,382,000","1,257,395,000","1,066,772,000","1,032,521,000","1,210,234,000","1,181,656,000","970,440,000","1,686,912,000","12,115,231,000","10,426,656,000","7,786,368,000","1,257,182,000","1,107,493,000","306,219,000","2,007,451,000","15,054,616,000"
			Payables,"9,779,075,000","8,417,892,000","8,170,634,000","7,454,804,000","8,896,306,000","10,970,417,000","10,379,831,000","1,427,437,000","13,133,628,000","14,759,667,000","13,133,081,000","12,548,729,000","12,065,129,000","13,845,543,000","13,884,890,000","12,391,313,000","12,313,871,000","11,238,357,000","10,867,950,000","10,145,776,000","9,973,723,000","14,153,924,000","12,629,715,000","10,625,309,000","11,177,788,000","7,880,231,000","10,425,951,000","12,896,663,000","8,363,382,000","1,257,395,000","1,066,772,000","1,032,521,000","1,210,234,000","1,181,656,000","970,440,000","1,102,672,000","6,881,711,000","5,397,641,000","4,685,122,000","1,257,182,000","1,107,493,000","306,219,000","2,007,451,000","15,054,616,000"
				AccountsPayable,"3,095,469,000","2,492,690,000","2,921,077,000","2,835,319,000","3,360,550,000","7,678,269,000","7,624,072,000","440,976,000","10,443,752,000","11,660,751,000","10,384,842,000","9,544,132,000","9,659,301,000","11,825,064,000","11,707,981,000","10,570,799,000","10,128,507,000","9,261,489,000","9,193,038,000","8,701,456,000","7,489,134,000","12,998,277,000","11,568,255,000","9,043,771,000","7,740,578,000","6,791,596,000","5,390,687,000","7,490,802,000","6,912,737,000",,,,,,,,"5,381,107,000","4,368,953,000","3,812,121,000",,,"73,298,000",,"1,925,416,000"
