name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010
DilutedAverageShares,,"72,100,000","72,900,000","75,400,000","75,300,000","75,100,000","66,600,000","75,000,000","76,000,000","77,300,000","68,300,000","67,500,000","68,200,000","79,700,000","69,600,000","69,200,000","70,500,000","68,800,000","63,600,000","60,800,000","67,600,000","49,800,000","49,800,000","42,600,000","33,600,000","32,700,000","32,700,000","32,688,799","32,900,000","32,700,000","34,400,000","34,500,000","34,600,000","34,400,000",,"34,400,000","34,400,000","34,400,000",
TotalOperatingIncomeAsReported,"683,100,000","196,000,000","102,600,000","198,200,000","186,300,000","293,900,000","70,900,000","187,800,000","164,300,000","164,500,000","116,100,000","190,500,000","137,500,000","76,200,000","108,300,000","142,000,000","162,500,000","132,900,000","40,800,000","81,300,000","49,700,000","40,900,000","-240,600,000","8,000,000","-300,000","25,200,000","24,400,000","24,200,000","28,900,000","30,300,000","33,100,000","41,500,000","33,200,000","31,300,000","-431,500,000","16,600,000","58,500,000","50,800,000","40,400,000"
TotalExpenses,"4,982,100,000","1,260,800,000","1,276,200,000","1,241,000,000","1,204,100,000","1,242,100,000","1,434,100,000","1,420,300,000","1,421,800,000","1,268,600,000","1,305,900,000","1,081,600,000","1,117,900,000","1,173,600,000","1,152,500,000","1,104,100,000","1,108,600,000","1,115,900,000","1,208,200,000","1,130,500,000","1,000,300,000","1,031,800,000","986,800,000","625,400,000","426,200,000","271,300,000","263,600,000","230,100,000","219,300,000","206,600,000","214,100,000","200,400,000","217,300,000","188,000,000","197,900,000","199,000,000","200,500,000","172,900,000","180,100,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"98,300,000","99,200,000","-61,100,000","16,200,000","44,000,000","125,600,000","-15,600,000","96,500,000","91,500,000","294,900,000","14,200,000","-59,500,000","-4,000,000","97,600,000","-37,000,000","3,300,000","4,900,000","25,500,000","-72,500,000","24,000,000","30,500,000","-97,300,000","-287,400,000","-35,100,000","-18,300,000","-2,400,000","-900,000","3,400,000","5,100,000","7,600,000","10,800,000","15,800,000","10,500,000","12,800,000","-416,600,000","1,600,000","29,100,000","24,600,000","18,100,000"
NormalizedIncome,"293,794,000","60,885,000","62,781,000","81,194,800","88,092,000","74,956,700","75,285,000","91,235,700","91,737,900","317,280,000","30,999,107.143","44,760,000","55,500,000","97,600,000","-37,000,000","3,300,000","4,900,000","25,500,000","-72,500,000","24,000,000","32,120,000","-96,520,000","-28,591,810.737","-35,351,600","-10,435,000","-2,084,000","2,127,272.727","5,440,000","5,100,000","7,600,000","11,816,470.588","15,800,000","9,850,000","12,393,650.794","26,252,015.141","23,933,333.333","30,931,468.531","25,755,248.619","30,507,773.852"
InterestExpense,"365,900,000","102,900,000","91,900,000","85,600,000","85,500,000","59,400,000","99,100,000","98,900,000","98,800,000","90,500,000","85,200,000","76,500,000","80,200,000","72,900,000","74,200,000","77,300,000","77,200,000","77,800,000","102,600,000","65,000,000","59,800,000","60,100,000","60,400,000","57,000,000","37,300,000","29,000,000","25,500,000","19,200,000","21,600,000","19,200,000","16,100,000","16,100,000","15,100,000","13,000,000","12,900,000","12,800,000","12,900,000","12,900,000","12,900,000"
NetInterestIncome,"-365,900,000","-102,900,000","-91,900,000","-85,600,000","-85,500,000","-59,400,000","-99,100,000","-98,900,000","-98,800,000","-90,500,000","-85,200,000","-76,500,000","-80,200,000","-72,900,000","-74,200,000","-77,300,000","-77,200,000","-77,800,000","-102,600,000","-65,000,000","-59,800,000","-60,100,000","-60,400,000","-57,000,000","-37,300,000","-29,000,000","-25,500,000","-19,200,000","-21,600,000","-19,200,000","-16,100,000","-16,100,000","-15,100,000","-13,000,000","-12,900,000","-12,800,000","-12,900,000","-12,900,000","-12,900,000"
EBIT,"489,400,000","247,700,000","-1,000,000","115,700,000","127,000,000","239,800,000","96,500,000","211,100,000","214,500,000","129,900,000","107,600,000","-15,100,000","76,000,000","220,700,000","8,400,000","79,400,000","71,600,000","117,000,000","-10,200,000","123,200,000","20,900,000","-13,700,000","-269,300,000","1,200,000","-300,000","25,200,000","24,400,000","24,200,000","28,900,000","30,300,000","33,100,000","41,500,000","34,200,000","31,900,000","-436,200,000","15,200,000","55,800,000","49,100,000","41,200,000"
EBITDA,"865,700,000"
ReconciledCostOfRevenue,"3,674,300,000","935,100,000","939,400,000","920,700,000","879,100,000","931,500,000","1,096,600,000","1,088,200,000","1,052,200,000","932,400,000","963,500,000","839,500,000","852,300,000","832,400,000","845,700,000","810,400,000","823,500,000","849,600,000","938,200,000","861,600,000","747,700,000","795,200,000","784,500,000","462,100,000","291,200,000","167,100,000","161,300,000","134,800,000","132,700,000","118,200,000","124,000,000","119,200,000","126,600,000","109,600,000","123,300,000","122,200,000","122,600,000","102,400,000","112,800,000"
ReconciledDepreciation,"376,300,000","90,300,000","91,500,000","96,700,000","97,800,000","93,600,000","97,600,000","105,700,000","104,600,000","90,500,000","90,200,000","77,800,000","78,000,000","77,100,000","75,900,000","75,700,000","76,400,000","74,800,000","76,100,000","70,400,000","63,200,000","63,100,000","61,900,000","42,700,000","30,100,000","21,100,000","22,600,000","21,800,000","16,200,000","16,200,000","16,300,000","16,000,000","16,000,000","14,900,000","14,900,000","14,700,000","14,500,000","14,600,000","13,800,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"98,300,000","99,200,000","-61,100,000","16,200,000","44,000,000","125,600,000","-15,600,000","96,500,000","91,500,000","294,900,000","14,200,000","-59,500,000","-4,000,000","97,600,000","-37,000,000","3,300,000","4,900,000","25,500,000","-72,500,000","24,000,000","30,500,000","-97,300,000","-287,400,000","-35,100,000","-18,300,000","-2,400,000","-900,000","3,400,000","5,100,000","7,600,000","10,800,000","15,800,000","10,500,000","12,800,000","-416,600,000","1,600,000","29,100,000","24,600,000","18,100,000"
TotalUnusualItemsExcludingGoodwill,"-267,800,000","48,500,000","-169,700,000","-86,200,000","-60,400,000","66,900,000","-124,500,000","6,100,000","-300,000","-37,300,000","-26,500,000","-160,400,000","-62,500,000",,"-86,400,000",,,,"-60,800,000",,"-2,700,000","-1,200,000","-296,900,000","400,000","-12,100,000","-500,000","-3,700,000","-3,000,000",,,"-1,600,000","0","1,000,000","600,000","-477,400,000","-33,500,000","-2,700,000","-1,700,000","-19,400,000"
TotalUnusualItems,"-267,800,000","48,500,000","-169,700,000","-86,200,000","-60,400,000","66,900,000","-124,500,000","6,100,000","-300,000","-37,300,000","-26,500,000","-160,400,000","-62,500,000",,"-86,400,000",,,,"-60,800,000",,"-2,700,000","-1,200,000","-296,900,000","400,000","-12,100,000","-500,000","-3,700,000","-3,000,000",,,"-1,600,000","0","1,000,000","600,000","-477,400,000","-33,500,000","-2,700,000","-1,700,000","-19,400,000"
NormalizedEBITDA,"1,133,500,000","289,500,000","260,200,000","298,600,000","285,200,000","266,500,000","318,600,000","310,700,000","319,400,000","257,700,000","224,300,000","223,100,000","216,500,000","297,800,000","84,300,000","155,100,000","148,000,000","191,800,000","65,900,000","193,600,000","86,800,000","50,600,000","89,500,000","43,500,000","41,900,000","46,800,000","50,700,000","49,000,000","45,100,000","46,500,000","51,000,000","57,500,000","49,200,000","46,200,000","56,100,000","63,400,000","73,000,000","65,400,000","74,400,000"
TaxRateForCalcs,"0.27","0.21","0.27","0.246","0.27","0.243","0.27","0.137","0.207","0.4","0.366","0.35","0.048","0.34","0.4","0.4","0.4","0.349","0.357","0.4","0.4","0.35","0.128","0.371","0.35","0.368","0.182","0.32","0.301","0.315","0.365","0.378","0.35","0.323","0.072","0.333","0.322","0.32","0.36"
TaxEffectOfUnusualItems,"-72,306,000","10,185,000","-45,819,000","-21,205,200","-16,308,000","16,256,700","-33,615,000","835,700","-62,100","-14,920,000","-9,700,892.857","-56,140,000","-3,000,000","0","0","0","0","0","0","0","-1,080,000","-420,000","-38,091,810.737","148,400","-4,235,000","-184,000","-672,727.273","-960,000","0","0","-583,529.412","0","350,000","193,650.794","-34,547,984.859","-11,166,666.667","-868,531.469","-544,751.381","-6,992,226.148"
