name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
	InterestIncomeNonOperating,"41,500,000","42,500,000","26,500,000","13,482,000","7,303,000","5,295,000","5,393,000","5,306,000","5,006,000","3,523,000","1,815,000","1,981,000","2,614,000","3,507,000"
OtherIncomeExpense,"21,800,000","-7,500,000","-6,600,000","368,000","-11,096,000","-10,767,000","-3,168,000","-1,455,000","-485,000","-354,000","-815,000","198,000","1,710,000","-1,991,000"
	SpecialIncomeCharges,"36,800,000","0","0","-340,000","-3,997,000","-7,600,000",,,,"-354,000","-815,000","198,000","1,710,000","-1,991,000"
		RestructuringAndMergernAcquisition,,"0","0","340,000","3,997,000","7,600,000",,,,,,,,
	OtherNonOperatingIncomeExpenses,"-15,000,000","-7,500,000","-6,600,000","708,000","-7,099,000","-3,167,000","-3,168,000","-1,455,000","-485,000",,,,,
PretaxIncome,"436,000,000","379,200,000","250,900,000","123,994,000","43,148,000","17,005,000","61,549,000","75,941,000","104,996,000","92,073,000","56,341,000","27,513,000","9,251,000","-20,061,000"
TaxProvision,"64,300,000","52,700,000","-81,300,000","92,595,000","10,961,000","9,018,000","36,206,000","31,668,000","38,160,000","29,581,000","15,096,000","-32,666,000","1,888,000","1,781,000"
NetIncomeCommonStockholders,"371,700,000","326,500,000","332,200,000","31,399,000","32,187,000","7,987,000","25,343,000","44,273,000","66,836,000","62,492,000","41,245,000","60,179,000","7,363,000","-21,842,000"
	NetIncome,"371,700,000","326,500,000","332,200,000","31,399,000","32,187,000","7,987,000","25,343,000","44,273,000","66,836,000","62,492,000","41,245,000","60,179,000","7,363,000","-21,842,000"
		NetIncomeIncludingNoncontrollingInterests,"371,700,000","326,500,000","332,200,000","31,399,000","32,187,000","7,987,000","25,343,000","44,273,000","66,836,000","62,492,000","41,245,000","60,179,000","7,363,000","-21,842,000"
			NetIncomeContinuousOperations,"371,700,000","326,500,000","332,200,000","31,399,000","32,187,000","7,987,000","25,343,000","44,273,000","66,836,000","62,492,000","41,245,000","60,179,000","7,363,000","-21,842,000"
DilutedNIAvailtoComStockholders,"371,700,000","326,500,000","332,200,000","31,399,000","32,187,000","7,987,000","25,343,000","44,273,000","66,836,000","62,492,000","41,245,000","60,179,000","7,363,000","-21,842,000"
BasicEPS,,,"1.96","0.18","0.19","0.05","0.15","0.27","0.42","0.41","0.295","0.965","0.065","-0.187"
DilutedEPS,,,"1.91","0.18","0.18","0.05","0.15","0.26","0.4","0.38","0.265","0.39","0.055","-0.187"
BasicAverageShares,,,"169,100,000","174,315,000","172,621,000","170,385,000","163,831,000","162,435,000","158,074,000","152,581,000","140,726,000","52,668,000","114,986,000","116,516,000"
DilutedAverageShares,,,"174,200,000","178,079,000","176,338,000","176,141,000","169,289,000","168,183,000","166,329,000","163,781,000","156,406,000","130,438,000","134,244,000","128,362,000"
TotalOperatingIncomeAsReported,"409,500,000","344,200,000","231,000,000","109,804,000","42,944,000","14,877,000","59,324,000","72,090,000","100,475,000","88,904,000","55,341,000","25,334,000","4,927,000","-21,577,000"
TotalExpenses,"1,887,800,000","1,812,000,000","1,570,200,000","1,384,786,000","1,228,502,000","986,791,000","711,040,000","543,207,000","433,164,000","344,672,000","269,355,000","226,781,000","206,864,000","176,943,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"371,700,000","326,500,000","332,200,000","31,399,000","32,187,000","7,987,000","25,343,000","44,273,000","66,836,000","62,492,000","41,245,000","60,179,000","7,363,000","-21,842,000"
NormalizedIncome,"340,327,155.963","326,500,000","332,200,000","31,603,000","35,184,750","12,547,000","25,343,000","44,273,000","66,836,000","62,732,267.701","41,841,629.009","60,050,300","6,001,987.137","-20,547,850"
InterestIncome,"41,500,000","42,500,000","26,500,000","13,482,000","7,303,000","5,295,000","5,393,000","5,306,000","5,006,000","3,523,000","1,815,000","1,981,000","2,614,000","3,507,000"
NetInterestIncome,"41,500,000","42,500,000","26,500,000","13,482,000","7,303,000","5,295,000","5,393,000","5,306,000","5,006,000","3,523,000","1,815,000","1,981,000","2,614,000","3,507,000"
EBIT,"372,700,000","344,200,000","231,000,000","110,144,000","46,941,000","22,477,000","59,324,000","72,090,000","100,475,000","88,904,000","55,341,000","25,334,000","4,927,000","-21,577,000"
EBITDA,"436,200,000"
ReconciledCostOfRevenue,"521,600,000","505,900,000","450,400,000","385,284,000","337,837,000","286,777,000","231,009,000","180,643,000","147,420,000","113,598,000","85,206,000","69,975,000","65,472,000","56,652,000"
ReconciledDepreciation,"63,500,000","61,600,000","55,700,000","55,476,000","48,520,000","31,589,000","22,028,000","15,623,000","11,564,000","6,989,000","5,696,000","5,935,000","4,234,000","4,153,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"371,700,000","326,500,000","332,200,000","31,399,000","32,187,000","7,987,000","25,343,000","44,273,000","66,836,000","62,492,000","41,245,000","60,179,000","7,363,000","-21,842,000"
TotalUnusualItemsExcludingGoodwill,"36,800,000","0","0","-340,000","-3,997,000","-7,600,000",,,,"-354,000","-815,000","198,000","1,710,000","-1,991,000"
TotalUnusualItems,"36,800,000","0","0","-340,000","-3,997,000","-7,600,000",,,,"-354,000","-815,000","198,000","1,710,000","-1,991,000"
NormalizedEBITDA,"399,400,000","405,800,000","286,700,000","165,960,000","99,458,000","61,666,000","81,352,000","87,713,000","112,039,000","96,247,000","61,852,000","31,071,000","7,451,000","-15,433,000"
TaxRateForCalcs,"0.147","0.14","0.27","0.4","0.25","0.4","0.35","0.35","0.36","0.321","0.268","0.35","0.204","0.35"
TaxEffectOfUnusualItems,"5,427,155.963","0","0","-136,000","-999,250","-3,040,000","0","0","0","-113,732.299","-218,370.991","69,300","348,987.137","-696,850"
