name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
	TotalOtherFinanceCost,"41,000,000","34,000,000","15,000,000","16,000,000","3,000,000","4,000,000","88,000,000"
OtherIncomeExpense,"-425,000,000","-189,000,000","-70,000,000","234,000,000","22,318,000,000","-4,584,000,000","-6,979,000,000"
	GainOnSaleOfSecurity,"-314,000,000","-220,000,000","-5,000,000","29,000,000","271,000,000","334,000,000","76,000,000"
	EarningsFromEquityInterest,"12,000,000","16,000,000","17,000,000",,,,
	SpecialIncomeCharges,"-76,000,000","43,000,000","-8,000,000","-23,000,000","22,089,000,000","-4,924,000,000","-7,053,000,000"
		RestructuringAndMergernAcquisition,,,"0","0","-22,125,000,000","101,000,000","520,000,000"
		ImpairmentOfCapitalAssets,"84,000,000","0","0","27,000,000","45,000,000","4,823,000,000","6,533,000,000"
		OtherSpecialCharges,"-36,000,000","-43,000,000","11,000,000",,,,
		GainOnSaleOfPPE,,"0","3,000,000","4,000,000",,"0",
	OtherNonOperatingIncomeExpenses,"-47,000,000","-28,000,000","-74,000,000","228,000,000","-42,000,000","6,000,000","-2,000,000"
PretaxIncome,"977,000,000","1,216,000,000","-101,000,000","250,000,000","21,351,000,000","-5,556,000,000","-8,549,000,000"
TaxProvision,"230,000,000","290,000,000","-45,000,000","504,000,000","-1,337,000,000","-879,000,000","-2,320,000,000"
NetIncomeCommonStockholders,"759,000,000","928,000,000","-54,000,000","-254,000,000","22,688,000,000","-4,677,000,000","-6,229,000,000"
	NetIncome,"759,000,000","928,000,000","-54,000,000","-254,000,000","22,688,000,000","-4,677,000,000","-6,229,000,000"
		NetIncomeIncludingNoncontrollingInterests,"747,000,000","926,000,000","-56,000,000","-254,000,000","22,688,000,000","-4,677,000,000","-6,229,000,000"
			NetIncomeContinuousOperations,"747,000,000","926,000,000","-56,000,000","-254,000,000","22,688,000,000","-4,677,000,000","-6,229,000,000"
		MinorityInterests,"12,000,000","2,000,000","2,000,000",,,,
DilutedNIAvailtoComStockholders,"759,000,000","928,000,000","-54,000,000","-254,000,000","22,688,000,000","-4,677,000,000","-6,229,000,000"
BasicEPS,,,"-0.11","-0.59","53.061","-10.94","-14.571"
DilutedEPS,,,"-0.11","-0.59","53.061","-10.94","-14.571"
BasicAverageShares,,,"504,954,371","427,761,460","427,580,232","427,500,000","427,500,000"
DilutedAverageShares,,,"504,954,371","427,761,460","427,580,232","427,500,000","427,500,000"
TotalOperatingIncomeAsReported,"1,894,000,000","1,993,000,000","491,000,000","198,000,000","407,000,000","-4,091,000,000","-6,015,000,000"
TotalExpenses,"9,766,000,000","9,816,000,000","8,653,000,000","5,207,000,000","5,039,000,000","5,054,000,000","5,734,000,000"
InterestIncome,"7,000,000","10,000,000","18,000,000","15,000,000","4,000,000","1,000,000","0"
InterestExpense,"542,000,000","564,000,000","525,000,000","206,000,000","1,093,000,000","1,285,000,000","1,726,000,000"
NetInterestIncome,"-576,000,000","-588,000,000","-522,000,000","-207,000,000","-1,092,000,000","-1,288,000,000","-1,814,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"759,000,000","928,000,000","-54,000,000","-254,000,000","22,688,000,000","-4,677,000,000","-6,229,000,000"
NormalizedIncome,"1,057,188,331.627","1,062,874,000","-44,510,000","-257,600,000","9,272,000,000","-812,220,000","-1,142,767,000"
EBIT,"1,519,000,000","1,780,000,000","424,000,000","456,000,000","22,444,000,000","-4,271,000,000","-6,823,000,000"
EBITDA,"3,423,000,000"
ReconciledCostOfRevenue,"6,888,000,000","7,036,000,000","6,194,000,000","3,772,000,000","3,532,000,000","3,383,000,000","3,586,000,000"
ReconciledDepreciation,"1,904,000,000","1,876,000,000","1,533,000,000","835,000,000","817,000,000","995,000,000","1,440,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"759,000,000","928,000,000","-54,000,000","-254,000,000","22,688,000,000","-4,677,000,000","-6,229,000,000"
TotalUnusualItemsExcludingGoodwill,"-390,000,000","-177,000,000","-13,000,000","6,000,000","22,360,000,000","-4,590,000,000","-6,977,000,000"
TotalUnusualItems,"-390,000,000","-177,000,000","-13,000,000","6,000,000","22,360,000,000","-4,590,000,000","-6,977,000,000"
NormalizedEBITDA,"3,813,000,000","3,833,000,000","1,970,000,000","1,285,000,000","901,000,000","1,314,000,000","1,594,000,000"
TaxRateForCalcs,"0.235","0.238","0.27","0.4","0.4","0.158","0.271"
