name,ttm,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988,06/30/1987,06/30/1986
NetIncomeFromContinuingAndDiscontinuedOperation,"33,856,000","143,993,000","141,625,000","133,910,000","29,577,000","115,484,000","112,821,000","118,149,000","108,779,000","96,759,000","65,903,000","42,260,000","95,456,000","86,022,000","72,299,000","55,339,000","31,471,000","19,832,000","14,755,000","28,048,000","31,048,000","19,900,000","30,100,000","27,100,000","23,300,000","16,900,000","12,700,000","8,900,000","-1,700,000","4,300,000","12,200,000","18,300,000","14,900,000","6,200,000","2,200,000"
NormalizedIncome,"111,244,000","167,109,860","140,936,460","133,910,000","68,453,400","116,015,513","112,222,122","118,149,000","109,807,856","94,358,504.951","65,636,292.943","67,212,496.429","95,598,823.795","85,264,173.369","71,840,654.807","53,351,413.405","31,178,441.802","19,847,387.56","14,966,806.146","28,386,941.166","31,048,000","19,900,000","29,556,024.096","26,499,113.082","23,000,000","16,660,000","12,580,000","8,660,000","-2,057,894.737","3,880,000","14,243,349.754","18,113,265.306","14,900,000","6,200,000","10,288,235.294"
InterestIncome,,"600,000","657,000","290,000","241,000","252,000","651,000","456,000","466,000","413,000","280,000","1,099,000",,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"39,234,000","40,788,000","24,142,000","8,831,000","9,004,000","8,121,000","900,000","621,000","457,000","2,081,000","5,738,000","5,523,000",,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-38,634,000","-40,188,000","-23,485,000","-8,541,000","-8,763,000","-7,869,000","-249,000","-165,000","9,000","-1,668,000","-5,458,000","-4,424,000",,,,,,,,,,,,,,,,,,,,,,,
EBIT,"116,511,000","235,269,000","228,860,000","175,797,000","87,982,000","183,992,000","167,162,000","178,286,000","167,283,000","154,969,000","110,755,000","71,337,000","152,824,000","135,011,000","115,592,000","87,968,000","51,448,000","36,254,000","30,834,000","55,001,000","57,717,000","42,400,000","58,500,000","50,700,000","49,200,000","36,900,000","27,900,000","20,400,000","4,600,000","17,100,000","29,200,000","33,400,000","25,000,000","13,900,000","20,000,000"
EBITDA,"179,430,000"
ReconciledCostOfRevenue,"2,416,522,000","2,465,116,000","2,189,279,000","1,856,051,000","1,812,006,000","1,981,747,000","1,772,952,000","1,779,209,000","1,720,973,000","1,599,739,000","1,377,486,000","1,403,138,000","1,520,173,000","1,466,057,000","1,386,895,000","1,262,206,000","1,114,861,000","1,085,072,000","1,080,879,000","1,216,456,000","1,157,127,000","1,122,500,000","1,078,500,000","840,600,000","833,300,000","769,100,000","670,600,000","600,500,000","594,900,000","589,200,000","481,600,000","460,300,000","390,600,000","358,300,000","350,400,000"
ReconciledDepreciation,"62,919,000","62,119,000","49,863,000","39,677,000","41,546,000","42,375,000","28,000,000","25,734,000","22,701,000","22,616,000","21,616,000","22,391,000","14,044,000","13,743,000","12,337,000","16,471,000","16,252,000","15,205,000","17,548,000","22,509,000","22,988,000","22,700,000","21,000,000","13,600,000","15,400,000","14,000,000","13,600,000","12,800,000","12,600,000","11,100,000","8,200,000","8,800,000","8,300,000","7,700,000","7,100,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"33,856,000","143,993,000","141,625,000","133,910,000","29,577,000","115,484,000","112,821,000","118,149,000","108,779,000","96,759,000","65,903,000","42,260,000","95,456,000","86,022,000","72,299,000","55,339,000","31,471,000","19,832,000","14,755,000","28,048,000","31,048,000","19,900,000","30,100,000","27,100,000","23,300,000","16,900,000","12,700,000","8,900,000","-1,700,000","4,300,000","12,200,000","18,300,000","14,900,000","6,200,000","2,200,000"
TotalUnusualItemsExcludingGoodwill,"-128,980,000","-31,239,000","995,000","0","-64,794,000","-809,000","882,000",,"-1,578,000","3,793,000","425,000","-38,860,000","-227,000","1,179,000","717,000","3,101,000","432,000","-24,000","-341,000","-548,000",,,"900,000","1,000,000","500,000","400,000","200,000","400,000","400,000","700,000","-3,400,000","300,000",,,"-12,500,000"
TotalUnusualItems,"-128,980,000","-31,239,000","995,000","0","-64,794,000","-809,000","882,000",,"-1,578,000","3,793,000","425,000","-38,860,000","-227,000","1,179,000","717,000","3,101,000","432,000","-24,000","-341,000","-548,000",,,"900,000","1,000,000","500,000","400,000","200,000","400,000","400,000","700,000","-3,400,000","300,000",,,"-12,500,000"
NormalizedEBITDA,"308,410,000","328,627,000","277,728,000","215,474,000","194,322,000","227,176,000","194,280,000","204,020,000","191,562,000","173,792,000","131,946,000","132,588,000","167,095,000","147,575,000","127,212,000","101,338,000","67,268,000","51,483,000","48,723,000","78,058,000","80,705,000","65,100,000","78,600,000","63,300,000","64,100,000","50,500,000","41,300,000","32,800,000","16,800,000","27,500,000","40,800,000","41,900,000","33,300,000","21,600,000","39,600,000"
TaxRateForCalcs,"0.4","0.26","0.308","0.198","0.4","0.343","0.321","0.335","0.348","0.367","0.372","0.358","0.371","0.357","0.361","0.359","0.323","0.359","0.379","0.381","0.386","0.39","0.396","0.399","0.4","0.4","0.4","0.4","0.105","0.4","0.399","0.378","0.349","0.4","0.353"
TaxEffectOfUnusualItems,"-51,592,000","-8,122,140","306,460","0","-25,917,600","-277,487","283,122","0","-549,144","1,392,504.951","158,292.943","-13,907,503.571","-84,176.205","421,173.369","258,654.807","1,113,413.405","139,441.802","-8,612.44","-129,193.854","-209,058.834","0","0","356,024.096","399,113.082","200,000","160,000","80,000","160,000","42,105.263","280,000","-1,356,650.246","113,265.306","0","0","-4,411,764.706"
