name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
		AdditionalPaidInCapital,"568,277,000","296,099,000","37,355,000","216,558,000","507,674,000",,,,,,,,"107,867,000","284,123,000",,,,,,,,"17,389,000","52,481,000","102,902,000"
		RetainedEarnings,"4,710,881,000","4,058,207,000","3,913,772,000","4,207,699,000","3,778,701,000","3,423,857,000","3,456,607,000","3,043,901,000","2,991,890,000","3,312,392,000","3,087,603,000","2,245,853,000","2,605,997,000","2,099,017,000","1,397,795,000","1,736,186,000","1,656,847,000","1,094,333,000","814,269,000","682,704,000","609,139,000","586,524,000","538,667,000","422,061,000"
		GainsLossesNotAffectingRetainedEarnings,"-1,939,000","-1,433,000","224,000","1,133,000","2,108,000","3,416,000","4,131,000","13,622,000","11,760,000","19,823,000","41,438,000","75,387,000","44,719,000","25,217,000","4,760,000","78,960,000","113,382,000","95,234,000","16,295,000","6,831,000","-18,470,000","-5,144,000","-10,155,000","1,577,000"
		OtherEquityInterest,,,,,,,,,,,"650,000,000",,,,,,,"-18,468,000","-20,163,000","-11,716,000","-10,026,000","-8,183,000","-4,731,000","-3,868,000"
	MinorityInterest,,,,,,,"0","3,991,000","661,067,000","760,544,000","0","768,531,000","815,451,000","650,284,000","462,911,000","347,794,000","430,498,000","448,176,000","362,581,000","87,630,000","89,630,000","100,000,000","113,682,000","15,236,000"
TotalCapitalization,"7,355,472,000","6,036,207,000","5,380,998,000","5,815,240,000","5,698,263,000","4,115,237,000","4,153,814,000","3,854,840,000","3,958,813,000","4,485,480,000","4,140,786,000","3,482,743,000","3,929,454,000","3,833,590,000","2,856,933,000","3,097,135,000","2,787,736,000","1,917,035,000","1,408,524,000","750,818,000","850,329,000","712,232,000","648,703,000","696,203,000"
PreferredStockEquity,"650,000,000","650,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","550,000,000","550,000,000","650,000,000","650,000,000","650,000,000","800,000,000","500,000,000","500,000,000","250,000,000","150,000,000","150,000,000",,,,,
CommonStockEquity,"5,321,367,000","4,395,080,000","3,991,375,000","4,466,577,000","4,332,184,000","3,465,715,000","3,504,384,000","3,103,065,000","3,055,193,000","3,386,325,000","3,190,786,000","2,382,743,000","2,827,503,000","2,480,497,000","1,753,840,000","2,144,042,000","2,084,643,000","1,492,035,000","1,075,024,000","700,818,000","600,329,000","612,232,000","598,703,000","546,203,000"
NetTangibleAssets,"5,709,141,000","4,807,662,000","4,148,230,000","4,615,391,000","4,467,030,000","3,857,813,000","3,896,273,000","3,494,579,000","3,596,299,000","3,921,635,000","3,764,098,000","2,958,562,000","3,477,503,000","3,280,497,000","2,253,840,000","2,644,042,000","2,334,643,000","1,642,035,000","1,225,024,000","700,818,000","600,329,000","612,232,000","598,703,000","546,203,000"
InvestedCapital,"6,705,472,000","5,386,207,000","4,980,998,000","5,415,240,000","5,298,263,000","3,715,237,000","3,753,814,000","3,454,840,000","3,408,813,000","3,935,480,000","3,490,786,000","2,832,743,000","3,279,454,000","3,033,590,000","2,356,933,000","2,597,135,000","2,537,736,000","1,767,035,000","1,258,524,000","750,818,000","850,329,000","712,232,000","648,703,000","696,203,000"
TangibleBookValue,"5,059,141,000","4,157,662,000","3,748,230,000","4,215,391,000","4,067,030,000","3,457,813,000","3,496,273,000","3,094,579,000","3,046,299,000","3,371,635,000","3,114,098,000","2,308,562,000","2,827,503,000","2,480,497,000","1,753,840,000","2,144,042,000","2,084,643,000","1,492,035,000","1,075,024,000","700,818,000","600,329,000","612,232,000","598,703,000","546,203,000"
TotalDebt,"1,384,105,000","991,127,000","989,623,000","948,663,000","966,079,000","249,522,000","249,430,000","351,775,000","353,620,000","549,155,000","300,000,000","450,000,000","451,951,000","553,093,000","603,093,000","453,093,000","453,093,000","275,000,000","183,500,000","50,000,000","250,000,000","100,000,000","50,000,000","150,000,000"
NetDebt,"5,037,000",,,"527,506,000","459,194,000",,,"26,417,000","136,636,000","271,417,000","39,284,000","175,308,000","121,725,000","338,694,000","429,092,000","386,353,000","389,696,000","187,933,000",,,"117,888,000",,,
ShareIssued,"44,148,116","42,207,390","40,023,789","41,187,413","43,701,064","38,441,972","43,646,436","45,542,203","51,542,955","54,109,840","61,744,857","61,500,840","65,686,769","72,140,045","71,522,701","71,028,711","70,398,699","69,749,826","67,960,611","58,922,724","59,117,118","65,003,004","67,390,389","70,663,664"
OrdinarySharesNumber,"44,148,116","42,207,390","40,023,789","41,187,413","43,701,064","38,441,972","43,646,436","45,542,203","51,542,955","54,109,840","61,744,857","61,500,840","65,686,769","72,140,045","71,522,701","71,028,711","70,398,699","69,749,826","67,960,611","58,922,724","59,117,118","65,003,004","67,390,389","70,663,664"
PreferredSharesNumber,"26,000,000","26,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000",,,"26,000,000","26,000,000","26,000,000",,,,,,,,,,,
