name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
			OtherInventories,,,,,,,"4,260,000",,,,,,
		PrepaidAssets,"41,200,000","36,800,000","40,067,000","33,306,000","35,761,000","31,143,000","14,053,000","13,215,000","11,808,000","8,849,000","3,100,000","3,270,000","2,636,000"
		CurrentDeferredAssets,,,,,,"41,484,000","50,980,000","13,663,000","9,718,000","11,946,000","13,603,000","69,000","301,000"
			CurrentDeferredTaxesAssets,,,,,,"41,484,000","50,980,000","13,663,000","7,578,000","8,158,000","9,652,000","69,000","301,000"
	TotalNonCurrentAssets,"1,116,500,000","857,100,000","541,096,000","601,225,000","519,967,000","377,909,000","432,918,000","406,223,000","211,177,000","125,264,000","44,996,000","14,114,000","10,596,000"
		NetPPE,"344,300,000","271,400,000","245,395,000","137,249,000","91,067,000","58,919,000","36,652,000","25,638,000","7,966,000","7,056,000","6,387,000","3,425,000","2,943,000"
			GrossPPE,"481,300,000","382,200,000","340,550,000","207,721,000","140,126,000","114,352,000","78,450,000","56,858,000","31,819,000","25,803,000","22,601,000","18,325,000","15,101,000"
				Properties,"0","0","0","0","0","0","0","0","13,912,000","10,607,000","8,449,000","0","0"
				LandAndImprovements,"93,300,000","75,700,000","65,583,000","35,079,000","21,683,000","13,895,000","13,895,000","13,895,000",,,,,
				BuildingsAndImprovements,"147,400,000","144,200,000","133,212,000","49,783,000","28,841,000","20,166,000","610,000","610,000",,,,,
				MachineryFurnitureEquipment,"134,000,000","111,600,000","94,616,000","79,318,000","54,533,000","36,917,000","24,139,000","18,677,000","13,526,000","10,648,000","10,018,000","7,382,000","6,637,000"
				OtherProperties,"19,900,000","20,500,000","20,087,000","20,173,000","15,784,000","31,474,000","23,442,000","18,322,000",,,,"9,282,000","7,614,000"
				ConstructionInProgress,"61,200,000","12,300,000","6,275,000","4,669,000","8,106,000","3,902,000","10,947,000",,,,,,
				Leases,"25,500,000","17,900,000","20,777,000","18,699,000","11,179,000","7,998,000","5,417,000","5,354,000","4,381,000","4,548,000","4,134,000","1,661,000","850,000"
			AccumulatedDepreciation,"-137,000,000","-110,800,000","-95,155,000","-70,472,000","-49,059,000","-55,433,000","-41,798,000","-31,220,000","-23,853,000","-18,747,000","-16,214,000","-14,900,000","-12,158,000"
		GoodwillAndOtherIntangibleAssets,"98,300,000","60,300,000","30,808,000","39,381,000","22,332,000","5,656,000","9,713,000","2,117,000",,,,,
			Goodwill,"67,200,000","38,200,000","14,553,000","14,553,000","4,692,000","2,824,000","2,872,000",,,,,,
			OtherIntangibleAssets,"31,100,000","22,100,000","16,255,000","24,828,000","17,640,000","2,832,000","6,841,000","2,117,000",,,,,
		InvestmentsAndAdvances,"144,300,000","67,000,000","98,022,000","224,983,000","272,959,000","271,724,000","351,675,000","325,892,000","148,414,000","73,950,000",,,
		NonCurrentDeferredAssets,"469,600,000","437,600,000","146,932,000","182,745,000","119,216,000","31,080,000","30,058,000","48,525,000","49,898,000","42,986,000","37,414,000","8,631,000","7,401,000"
			NonCurrentDeferredTaxesAssets,"232,600,000","255,000,000","146,932,000","182,745,000","119,216,000","31,080,000","30,058,000","48,525,000","46,523,000","37,443,000","31,671,000",,
		OtherNonCurrentAssets,"60,000,000","20,800,000","19,939,000","16,867,000","14,393,000","10,530,000","4,820,000","4,051,000","4,899,000","1,272,000","1,195,000","2,058,000","252,000"
TotalLiabilitiesNetMinorityInterest,"2,563,600,000","2,067,800,000","1,668,539,000","1,302,260,000","1,035,133,000","748,808,000","582,704,000","464,563,000","376,393,000","312,968,000","244,761,000","204,334,000","164,117,000"
	CurrentLiabilities,"1,473,600,000","1,256,400,000","1,027,223,000","829,440,000","678,670,000","496,456,000","413,061,000","319,304,000","266,864,000","218,382,000","180,565,000","150,268,000","121,734,000"
		PayablesAndAccruedExpenses,"300,000,000","290,500,000","233,403,000","184,098,000","164,018,000","127,527,000","119,397,000","72,036,000","35,739,000","48,734,000","40,028,000","31,971,000","32,116,000"
			Payables,"100,500,000","114,600,000","91,444,000","70,320,000","69,879,000","52,636,000","57,020,000","20,816,000","19,768,000","12,761,000","10,987,000","7,004,000","9,377,000"
				AccountsPayable,"96,400,000","86,400,000","70,009,000","56,732,000","61,500,000","49,947,000","35,599,000","20,816,000","19,768,000","12,761,000","10,987,000","7,004,000","8,460,000"
				TotalTaxPayable,"4,100,000","28,200,000","21,435,000","13,588,000","8,379,000","2,689,000","21,421,000",,,,,"0","917,000"
					IncomeTaxPayable,"4,100,000","28,200,000","21,435,000","13,588,000","8,379,000","2,689,000","21,421,000",,,,,"0","917,000"
			CurrentAccruedExpenses,"199,500,000","175,900,000","141,959,000","113,778,000","94,139,000","74,891,000","62,377,000","51,220,000","15,971,000","35,973,000","29,041,000","24,967,000","22,739,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,"24,197,000",,,,
		CurrentDeferredLiabilities,"1,173,600,000","965,900,000","793,820,000","645,342,000","514,652,000","368,929,000","293,664,000","247,268,000","206,928,000","169,648,000","140,537,000","118,297,000","89,618,000"
			CurrentDeferredRevenue,"1,173,600,000","965,900,000","793,820,000","645,342,000","514,652,000","368,929,000","293,664,000","247,268,000","206,928,000","169,648,000","140,537,000","118,297,000","89,618,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,090,000,000","811,400,000","641,316,000","472,820,000","356,463,000","252,352,000","169,643,000","145,259,000","109,529,000","94,586,000","64,196,000","54,066,000","42,383,000"
		NonCurrentDeferredLiabilities,"962,300,000","720,900,000","542,494,000","390,007,000","276,651,000","189,828,000","138,964,000","115,917,000","87,905,000","82,983,000","61,393,000","53,320,000","41,637,000"
			NonCurrentDeferredRevenue,"962,300,000","720,900,000","542,494,000","390,007,000","276,651,000","189,828,000","138,964,000","115,917,000","87,905,000","82,983,000","61,393,000","53,320,000","41,637,000"
		TradeandOtherPayablesNonCurrent,"82,800,000","77,500,000","90,213,000","68,551,000","60,624,000","45,139,000","30,208,000",,,,,,
		OtherNonCurrentLiabilities,"44,900,000","13,000,000","8,609,000","14,262,000","19,188,000","17,385,000","471,000","29,342,000","21,624,000","11,603,000","2,803,000","746,000","746,000"
TotalEquityGrossMinorityInterest,"1,321,900,000","1,010,200,000","589,377,000","837,681,000","755,377,000","675,966,000","585,760,000","510,934,000","358,354,000","232,454,000","142,452,000","-5,229,000","-18,925,000"
	StockholdersEquity,"1,321,900,000","1,010,200,000","589,377,000","837,681,000","755,377,000","675,966,000","585,760,000","510,934,000","358,354,000","232,454,000","142,452,000","-5,229,000","-18,925,000"
		CapitalStock,"200,000","200,000","168,000","173,000","171,000","166,000","161,000","162,000","156,000","75,000","67,000","94,389,000","94,388,000"
			PreferredStock,,,,,,,,,,,"0","94,368,000","94,368,000"
			CommonStock,"200,000","200,000","168,000","173,000","171,000","166,000","161,000","162,000","156,000","75,000","67,000","21,000","20,000"
		AdditionalPaidInCapital,"1,180,300,000","1,068,300,000","909,636,000","800,653,000","687,658,000","562,504,000","462,644,000","400,075,000","317,026,000","251,920,000","204,268,000","20,833,000","13,418,000"
		RetainedEarnings,"140,300,000","-57,500,000","-319,580,000","37,620,000","68,481,000","113,645,000","121,863,000","110,601,000","43,765,000","-18,727,000","-59,972,000","-120,151,000","-127,514,000"
		TreasuryStock,,,,,,,"0","2,995,000","2,995,000","2,995,000","2,995,000","0","0"
		GainsLossesNotAffectingRetainedEarnings,"1,100,000","-800,000","-847,000","-765,000","-933,000","-349,000","1,092,000","3,091,000","402,000","2,181,000","1,084,000","-300,000","783,000"
TotalCapitalization,"1,321,900,000","1,010,200,000","589,377,000","837,681,000","755,377,000","675,966,000","585,760,000","510,934,000","358,354,000","232,454,000","142,452,000","-5,229,000","-18,925,000"
PreferredStockEquity,,,,,,,,,,,,"94,368,000","94,368,000"
CommonStockEquity,"1,321,900,000","1,010,200,000","589,377,000","837,681,000","755,377,000","675,966,000","585,760,000","510,934,000","358,354,000","232,454,000","142,452,000","-99,597,000","-113,293,000"
NetTangibleAssets,"1,223,600,000","949,900,000","558,569,000","798,300,000","733,045,000","670,310,000","576,047,000","508,817,000","358,354,000","232,454,000","142,452,000","-5,229,000","-18,925,000"
WorkingCapital,"1,295,400,000","964,500,000","689,597,000","709,276,000","591,873,000","550,409,000","322,485,000","249,970,000","256,706,000","201,776,000","161,652,000","34,723,000","12,862,000"
InvestedCapital,"1,321,900,000","1,010,200,000","589,377,000","837,681,000","755,377,000","675,966,000","585,760,000","510,934,000","358,354,000","232,454,000","142,452,000","-99,597,000","-113,293,000"
TangibleBookValue,"1,223,600,000","949,900,000","558,569,000","798,300,000","733,045,000","670,310,000","576,047,000","508,817,000","358,354,000","232,454,000","142,452,000","-99,597,000","-113,293,000"
ShareIssued,"171,700,000","169,800,000","167,890,000","173,078,000","171,399,000","166,443,000","161,535,000","161,757,000","156,401,000","150,170,000","135,034,000","128,787,938","128,787,938"
OrdinarySharesNumber,"171,700,000","169,800,000","167,890,000","173,078,000","171,399,000","166,443,000","161,535,000","160,348,000","154,992,000","148,762,000","133,626,000","128,787,938","128,787,938"
TreasurySharesNumber,,,,,,,,"1,409,000","1,409,000","1,408,000","1,408,000",,
