name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,275,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,"4,000,000","5,000,000","5,000,000","8,000,000","6,000,000","3,000,000","5,000,000","8,000,000","258,000,000","233,000,000","362,000,000","240,000,000","197,000,000","5,000,000","7,000,000","16,000,000","279,000,000","12,000,000","13,500,000","31,000,000","31,000,000","34,000,000","42,000,000","14,000,000","13,000,000","14,000,000","14,000,000","14,000,000","19,000,000","21,000,000","43,000,000",,,"66,252,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		HedgingAssetsCurrent,,,,,,,,,,,,,,,,,,"0","15,400,000","37,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"163,000,000","181,000,000","181,000,000","162,000,000","168,000,000","127,000,000","123,000,000","116,000,000","114,000,000","90,000,000","119,000,000","120,000,000","113,000,000","110,000,000","106,000,000","114,000,000","127,000,000","98,000,000","133,100,000","96,000,000","135,000,000","103,000,000","2,358,000,000","92,000,000","85,000,000","22,000,000","30,000,000","75,000,000","109,000,000","86,000,000","424,000,000","95,026,000","95,019,000","178,939,000","280,422,000","216,353,000","236,166,000","86,059,000","126,999,000","122,356,000","107,041,000","157,385,000","158,258,000","61,893,000","211,987,000","261,970,000","214,031,000","164,041,000","194,947,000","171,288,000","130,550,000","123,100,000","111,056,000","133,830,000","107,712,000","508,712,000","496,015,000","403,110,000","68,567,000","86,671,000","81,482,000","62,987,000","96,172,000","115,892,000","173,229,000","97,754,000","48,353,000","44,019,000","84,422,000","52,008,000","49,387,000","52,657,000","46,755,000","57,244,000","58,774,000","71,192,000","129,406,000","30,947,000","156,696,000","177,648,000","108,400,000","238,700,000","176,500,000","212,200,000","17,300,000","11,200,000","9,600,000"
	TotalNonCurrentAssets,"9,731,000,000","10,210,000,000","10,136,000,000","9,602,000,000","9,193,000,000","8,784,000,000","7,335,000,000","7,388,000,000","7,732,000,000","7,647,000,000","7,479,000,000","7,534,000,000","7,657,000,000","7,961,000,000","8,091,000,000","8,275,000,000","8,384,000,000","8,491,000,000","9,869,800,000","10,233,000,000","10,385,000,000","10,891,000,000","11,505,000,000","9,547,000,000","9,291,000,000","6,225,000,000","5,899,000,000","5,867,000,000","6,040,000,000","6,112,000,000","5,699,000,000","5,602,219,000","5,610,317,000","5,502,150,000","5,245,245,000","5,135,118,000","5,155,168,000","5,345,018,000","5,227,710,000","3,798,135,000","3,886,863,000","3,915,854,000","4,242,808,000","4,091,669,000","3,892,978,000","3,856,640,000","3,202,463,000","3,144,257,000","2,919,933,000","2,662,257,000","2,358,853,000","2,089,517,000","1,905,120,000","2,193,776,000","1,398,559,000","1,258,511,000","1,415,599,000","1,318,105,000","1,556,516,000","1,471,385,000","1,268,020,000","1,334,941,000","1,034,535,000","1,279,401,000","1,072,528,000","1,115,894,000","1,001,674,000","770,089,000","739,510,000","810,663,000","1,034,240,000","1,150,154,000","1,370,550,000","1,525,913,000","1,360,156,000","956,240,000","922,190,000","910,969,000","1,836,860,000","1,435,526,000","1,423,760,000","1,153,600,000","910,500,000","594,300,000","367,900,000","265,000,000","204,100,000"
		NetPPE,"3,485,000,000","4,098,000,000","3,627,000,000","3,552,000,000","3,487,000,000","3,041,000,000","2,726,000,000","2,759,000,000","2,853,000,000","2,880,000,000","2,790,000,000","2,858,000,000","2,950,000,000","3,057,000,000","3,062,000,000","3,070,000,000","3,079,000,000","3,206,000,000","4,112,400,000","4,286,000,000","4,354,000,000","4,631,000,000",,"3,407,000,000","3,344,000,000","3,162,000,000","2,979,000,000","2,922,000,000","3,020,000,000","3,108,000,000","2,850,000,000","2,854,335,000","2,880,160,000","2,865,117,000","2,691,886,000","2,798,050,000","2,793,937,000","2,767,667,000","2,786,120,000","2,606,203,000","2,673,887,000","2,710,641,000","2,687,666,000","2,597,115,000","2,796,797,000","2,787,224,000","2,654,190,000","2,553,157,000","2,297,464,000","2,066,122,000","1,838,153,000","1,563,037,000","1,389,652,000","1,267,159,000","954,979,000","825,981,000","721,105,000","671,774,000","560,096,000","550,483,000","545,432,000","575,649,000","540,270,000","639,208,000","522,042,000","487,746,000","481,691,000","412,503,000","419,518,000","458,933,000","472,377,000","483,905,000","497,844,000","512,236,000","580,711,000","598,858,000","587,423,000","577,501,000","474,549,000","576,737,000","499,579,000","476,600,000","435,300,000","281,600,000","169,900,000","86,000,000","53,900,000"
			GrossPPE,"3,485,000,000","9,050,000,000","3,627,000,000","3,552,000,000","3,487,000,000","7,747,000,000","2,726,000,000","2,759,000,000","2,853,000,000","7,038,000,000","2,790,000,000","2,858,000,000","2,950,000,000","7,047,000,000","3,062,000,000","3,070,000,000","3,079,000,000","6,761,000,000","4,112,400,000","4,286,000,000","4,354,000,000","9,164,000,000",,"3,407,000,000","3,344,000,000","6,676,000,000","2,979,000,000","2,922,000,000","3,020,000,000","6,056,000,000",,,,,,,,"4,741,622,000",,,,"4,108,741,000",,,,"4,055,120,000","3,394,204,000","3,293,171,000","3,037,478,000","2,806,136,000","2,506,896,000","2,231,780,000","2,058,395,000","1,935,902,000","1,480,316,000","1,351,318,000","1,246,442,000","1,197,111,000","1,228,497,000","1,218,884,000","1,161,859,000","1,192,076,000","1,304,153,000","1,403,091,000","1,067,906,000","1,033,610,000","841,930,000","772,742,000","779,757,000","819,172,000","472,377,000","483,905,000","497,844,000","872,475,000","580,711,000","1,020,298,000",,"998,941,000","689,840,000","792,028,000","714,870,000","622,200,000","531,800,000","342,200,000","201,300,000","102,900,000","64,800,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,"0",,,,"0",,,,,,,,,
				LandAndImprovements,,"360,000,000",,,,"252,000,000",,,,"191,000,000",,,,"185,000,000",,,,"180,000,000",,,,"222,000,000",,,,"114,000,000",,,,"99,000,000",,,,,,,,"65,868,000",,,,"100,211,000",,,,"78,602,000",,,,"64,883,000",,,,"41,780,000",,,,"30,373,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,378,000",,,,"23,862,000",,,,,,,,"20,778,000",,,,"23,843,000",,,,,,,,,
