name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,09/30/2007
			GrossPPE,"225,218,000","224,596,000","218,455,000","382,485,000",,,,"364,341,000",,,,"338,681,000",,,,"275,570,000",,,,"222,723,000",,,,"167,464,000",,,,"170,433,000",,,,"161,463,000",,,,"131,240,000",,,,"108,146,000",,,,"99,702,000",
				Properties,,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",
				LandAndImprovements,,,,"45,080,000",,,,"45,080,000",,,,"39,096,000",,,,"39,048,000",,,,"26,672,000",,,,"14,353,000",,,,"14,353,000",,,,"14,353,000",,,,"14,353,000",,,,"5,738,000",,,,"5,738,000",
				BuildingsAndImprovements,,,,"142,909,000",,,,"139,342,000",,,,"138,578,000",,,,"95,386,000",,,,"86,926,000",,,,"73,353,000",,,,"74,450,000",,,,"72,508,000",,,,"40,743,000",,,,"39,880,000",,,,"39,718,000",
				MachineryFurnitureEquipment,,,,"183,681,000",,,,"171,157,000",,,,"154,949,000",,,,"117,888,000",,,,"98,927,000",,,,"78,389,000",,,,"77,766,000",,,,"73,322,000",,,,"69,655,000",,,,"62,528,000",,,,"54,234,000",
				OtherProperties,"225,218,000","224,596,000","218,455,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,,,,"10,815,000",,,,"8,762,000",,,,"6,058,000",,,,"23,248,000",,,,"10,198,000",,,,"1,369,000",,,,"3,864,000",,,,"1,280,000",,,,"6,489,000",,,,,,,,"12,000",
			AccumulatedDepreciation,,,,"-171,799,000",,,,"-144,701,000",,,,"-121,800,000",,,,"-97,160,000",,,,"-82,069,000",,,,"-70,220,000",,,,"-73,227,000",,,,"-63,540,000",,,,"-55,830,000",,,,"-50,495,000",,,,"-43,668,000",
		GoodwillAndOtherIntangibleAssets,"7,570,000","7,836,000","7,264,000","7,592,000","7,935,000","7,981,000","8,412,000","8,708,000","10,028,000","9,365,000","9,580,000","9,646,000","9,506,000","7,577,000","8,085,000","499,000","369,000","321,000","195,000","137,000","45,000","52,000","51,000","72,000","93,000","113,000","136,000","164,000","196,000","239,000","305,000","380,000","466,000","555,000","649,000","892,000","1,009,000","976,000","1,097,000","1,220,000","1,026,000","1,122,000","1,231,000","1,344,000",
			Goodwill,"3,571,000","3,798,000","3,603,000","3,705,000","3,823,000","3,698,000","3,822,000","3,828,000","4,101,000","3,933,000","3,923,000","3,806,000","3,649,000","2,529,000","2,994,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
