name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
	NetIncome,"247,002,000","143,024,000","53,112,000","50,866,000","89,431,000","-155,846,000","57,737,000","49,894,000","136,473,000","100,916,000","103,796,000","62,997,000","102,314,000","90,544,000","74,018,000","54,527,000","115,455,000","-408,472,000","6,213,000","64,097,000","113,121,000","35,925,000","65,980,000","118,172,000","151,357,000","113,921,000","126,009,000","74,442,000","113,830,000","86,623,000","111,918,000","32,006,000","95,929,000","104,383,000","70,331,000","41,263,000","94,448,000","121,795,000","63,922,000","18,614,000","36,726,000","70,443,000","43,139,000","55,162,000","71,615,000","18,386,000","30,343,000","30,431,000","39,499,000","35,525,000","46,822,000","30,907,000","48,566,000","41,496,000","37,240,000","22,864,000","32,239,000","17,653,000","27,675,000","15,111,000","22,560,000"
		NetIncomeIncludingNoncontrollingInterests,"247,002,000","143,024,000","53,112,000","50,866,000","89,431,000","-155,846,000","57,737,000","49,894,000","136,473,000","100,916,000","103,796,000","62,997,000","102,314,000","90,544,000","74,018,000","54,527,000","115,455,000","-408,472,000","6,213,000","64,097,000","113,121,000","35,925,000","65,980,000","118,172,000","151,357,000","113,921,000","126,009,000","74,442,000","113,830,000","86,623,000","111,918,000","32,006,000","95,929,000","104,383,000","70,331,000","41,263,000","94,448,000","121,795,000","63,922,000","18,614,000","36,726,000","70,443,000","43,139,000","55,162,000","71,615,000","18,386,000","30,343,000","30,431,000","39,499,000","35,525,000","46,822,000","30,907,000","48,566,000","41,496,000","37,240,000","22,864,000","32,239,000","17,653,000","27,675,000","15,111,000","22,560,000"
			NetIncomeContinuousOperations,"247,002,000","143,025,000","53,111,000","50,866,000","89,432,000","-155,846,000","57,737,000","49,894,000","136,473,000","100,916,000","103,796,000","62,998,000","102,313,000","90,544,000","74,018,000","54,527,000","115,455,000","-408,472,000","6,213,000","64,097,000","113,121,000","35,925,000","65,981,000","118,172,000","151,357,000","113,921,000","126,009,000","74,442,000","113,830,000","86,623,000","111,918,000","32,006,000","95,929,000","104,383,000","70,331,000","41,263,000","94,448,000","121,795,000","63,922,000","18,614,000","36,726,000","70,443,000","43,139,000","55,162,000","71,615,000","18,386,000","30,343,000","30,431,000","39,499,000","35,525,000","46,822,000","30,907,000","48,566,000","41,496,000","37,240,000","22,864,000","32,239,000","17,653,000","27,675,000","15,111,000","22,560,000"
DilutedNIAvailtoComStockholders,"247,002,000","143,024,000","53,112,000","50,866,000","89,431,000","-155,846,000","57,737,000","49,894,000","136,473,000","100,916,000","103,796,000","62,997,000","102,314,000","90,544,000","74,018,000","54,527,000","115,455,000","-408,472,000","6,213,000","64,097,000","113,121,000","35,925,000","65,980,000","118,172,000","151,357,000","113,921,000","126,009,000","74,442,000","113,830,000","86,623,000","111,918,000","32,006,000","95,929,000","104,383,000","70,331,000","41,263,000","94,448,000","121,795,000","63,922,000","18,614,000","36,726,000","70,443,000","43,139,000","55,162,000","71,615,000","18,386,000","30,343,000","30,431,000","39,499,000","35,525,000","46,822,000","30,907,000","48,566,000","41,496,000","37,240,000","22,864,000","32,239,000","17,653,000","27,675,000","15,111,000","22,560,000"
BasicEPS,,"0.06",,"1.2","2.11","-3.67","1.36","1.18","3.22","2.38","2.45","1.49","2.41","2.26","1.75","1.29","2.74","0.04","0.14","1.46","2.57","0.81","1.49","2.66","3.41","2.57","2.84","1.68","2.56","1.95","2.52","0.72","2.16",,"1.59","0.93","2.14",,"1.45","0.42","0.84",,"1","1.27","1.67",,"0.7","0.7","0.92",,"1.09","0.72","1.13",,"0.87","0.53","0.75",,"0.646","0.353","0.527"
DilutedEPS,,"0.06",,"1.2","2.11","-3.67","1.36","1.18","3.22","2.38","2.45","1.49","2.41","2.26","1.75","1.29","2.74","0.04","0.14","1.46","2.57","0.81","1.49","2.66","3.41","2.57","2.84","1.68","2.56","1.95","2.52","0.72","2.16",,"1.59","0.93","2.14",,"1.45","0.42","0.84",,"0.99","1.26","1.65",,"0.7","0.7","0.91",,"1.08","0.71","1.12",,"0.87","0.53","0.75",,"0.646","0.353","0.527"
BasicAverageShares,,"42,486,717",,"42,478,415","42,477,761","42,468,402","42,469,122","42,447,386","42,438,748","42,429,821","42,429,841","42,419,150","42,395,784","42,382,757","42,371,617","42,117,261","42,109,094","43,285,727","44,030,111","44,037,684","44,077,111","44,354,963","44,403,578","44,408,515","44,402,832","44,379,289","44,379,507","44,387,279","44,387,148","44,409,211","44,406,679","44,353,845","44,340,562",,"44,318,760","44,315,841","44,139,277",,"43,999,213","43,982,983","43,977,696",,"43,344,371","43,337,693","42,907,967",,"43,194,566","43,194,566","42,985,220",,"42,937,844","42,816,678","42,816,678",,"42,812,500","42,856,164","42,812,500",,"42,812,500","42,812,500","42,812,500"
DilutedAverageShares,,"42,486,717",,"42,478,415","42,477,761","42,468,402","42,469,122","42,447,386","42,438,748","42,429,821","42,429,841","42,419,150","42,395,784","42,382,757","42,371,617","42,117,261","42,109,094","43,285,727","44,030,111","44,037,684","44,077,111","44,354,963","44,403,578","44,408,515","44,402,832","44,379,289","44,379,507","44,387,279","44,387,148","44,409,211","44,406,679","44,353,845","44,340,562",,"44,318,760","44,315,841","44,139,277",,"43,999,213","43,982,983","43,977,696",,"43,710,245","43,684,875","43,463,759",,"43,490,728","43,464,749","43,432,584",,"43,479,214","43,501,720","43,435,044",,"42,907,893","42,856,164","42,854,167",,"42,812,500","42,812,500","42,812,500"
TotalOperatingIncomeAsReported,"346,153,000","213,277,000","50,275,000","82,601,000","112,873,000","-126,376,000","74,292,000","57,076,000","143,396,000","120,447,000","119,128,000","82,960,000","117,526,000","71,148,000","77,191,000","34,183,000","94,091,000","39,077,000","50,556,000","49,157,000","127,279,000","118,836,000","111,060,000","131,192,000","176,999,000","130,675,000","147,492,000","97,689,000","142,626,000","104,269,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RentExpenseSupplemental,,,,,,"33,130,000","33,105,000","32,968,000","33,330,000","33,312,000","33,382,000","33,614,000","34,231,000","43,239,000","44,110,000","44,879,000","44,111,000","45,011,000","44,994,000","44,923,000","43,993,000","43,897,000","41,580,000","41,784,000","38,568,000","37,430,000","36,147,000","34,913,000","32,147,000","31,739,000","30,694,000","28,122,000","28,146,000","35,777,000","24,342,000","21,794,000","11,227,000","31,149,000","22,167,000","21,269,000","12,069,000","2,217,000","20,468,000","11,487,000","12,366,000","-14,084,000","18,842,000","19,569,000","18,681,000","17,321,000","17,296,000","15,617,000","15,419,000","19,508,000","16,962,000","14,656,000","14,551,000","13,907,000","10,544,000",,
