name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
TotalExpenses,"69,244,000","23,547,000","18,475,000","13,774,000","13,448,000","10,658,000","10,268,000","9,272,000","9,341,000","7,911,000","8,076,000","6,855,000","5,315,000","4,686,000","4,007,000","3,823,000","3,619,000","3,679,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"38,421,000","17,347,000","11,119,000","5,432,000","4,523,000","6,619,000","4,308,000","2,009,000","1,703,000","3,720,000","-1,344,000","-721,000","-1,604,000","1,846,000","3,699,000","949,000","1,053,000","914,000"
NormalizedIncome,"38,421,000","17,347,000","11,119,000","6,900,030","4,523,000","6,619,000","4,308,000","2,009,000","1,703,000","3,720,000","-1,344,000","-721,000","-1,604,000","1,541,200","3,699,000","949,000","1,053,000","914,000"
EBIT,"42,497,000","16,618,000","11,111,000","8,536,000","6,232,000","11,162,000","4,545,000","2,372,000","2,233,000","3,782,000","-1,326,000","-599,000","-1,111,000","1,338,000","3,699,000","949,000","1,053,000","914,000"
EBITDA,"54,449,000"
ReconciledCostOfRevenue,"40,586,000","15,279,000","11,578,000","7,706,000","6,023,000","4,725,000","4,594,000","3,511,000","3,225,000","3,140,000","3,112,000","2,509,000","1,947,000","2,524,000","2,737,000","2,227,000","1,982,000","2,157,000"
ReconciledDepreciation,"11,952,000","3,015,000","3,014,000","2,972,000","2,951,000","2,951,000","3,115,000","2,982,000","2,824,000","2,739,000","2,691,000","2,674,000","2,219,000","1,019,000","476,000","890,000","986,000","790,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"38,421,000","17,347,000","11,119,000","5,432,000","4,523,000","6,619,000","4,308,000","2,009,000","1,703,000","3,720,000","-1,344,000","-721,000","-1,604,000","1,846,000","3,699,000","949,000","1,053,000","914,000"
TotalUnusualItemsExcludingGoodwill,,,"0","-2,011,000",,,"0","0",,,,"0","0","508,000",,"0","0","0"
TotalUnusualItems,,,"0","-2,011,000",,,"0","0",,,,"0","0","508,000",,"0","0","0"
NormalizedEBITDA,"54,449,000","19,633,000","14,125,000","13,519,000","9,183,000","14,113,000","7,660,000","5,354,000","5,057,000","6,521,000","1,365,000","2,075,000","1,108,000","1,849,000","4,485,000","1,839,000","2,039,000","1,704,000"
TaxRateForCalcs,"0.4","0.4","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0","0","0","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"0","0","0","-542,970","0","0","0","0","0","0","0","0","0","203,200","0","0","0","0"
