name,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014
		GainsLossesNotAffectingRetainedEarnings,,"0","-269,000","-165,000","-98,000",,
			OtherEquityAdjustments,,,,"-165,000",,,
		OtherEquityInterest,,,,,,,"2,334,000"
TotalCapitalization,"2,211,910,000","477,079,000","346,274,000","261,940,000","203,457,000","144,095,000","34,008,000"
PreferredStockEquity,,,,,,,"54,843,000"
CommonStockEquity,"1,030,295,000","477,079,000","346,274,000","261,940,000","203,457,000","144,095,000","-20,835,000"
CapitalLeaseObligations,"80,418,000",,,,,,
NetTangibleAssets,"-1,085,615,000","392,762,000","257,988,000","192,269,000","131,966,000","112,903,000","4,666,000"
WorkingCapital,"145,363,000","365,624,000","244,906,000","185,116,000","130,942,000","115,888,000","14,327,000"
InvestedCapital,"2,250,973,000","477,079,000","346,274,000","261,940,000","203,457,000","144,095,000","-20,835,000"
TangibleBookValue,"-1,085,615,000","392,762,000","257,988,000","192,269,000","131,966,000","112,903,000","-50,177,000"
TotalDebt,"1,301,096,000",,,,,,
NetDebt,"1,028,952,000",,,,,,
ShareIssued,"71,051,000","62,446,000","60,825,000","59,538,000","57,726,000","54,802,000","49,596,105"
OrdinarySharesNumber,"71,051,000","62,446,000","60,825,000","59,538,000","57,726,000","54,802,000","49,596,105"
