name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
DilutedAverageShares,,"66,900,000","67,300,000","68,200,000","70,500,000","72,600,000","76,200,000","77,700,000","76,300,000","75,500,000","74,400,000","72,600,000","72,500,000","71,600,000","68,300,000","67,300,000","65,800,000","65,500,000","65,500,000","65,400,000","66,800,000","73,800,000","74,634,146","75,652,174"
TotalExpenses,"1,506,800,000","1,527,900,000","1,608,900,000","1,443,700,000","1,329,000,000","2,529,900,000","2,768,400,000","2,497,700,000","3,031,000,000","2,750,500,000","2,378,200,000","2,660,600,000","3,153,600,000","2,880,200,000","2,734,800,000","2,416,000,000","2,138,000,000","1,810,300,000","1,728,300,000","1,562,100,000","1,430,500,000","1,309,100,000","1,347,500,000","1,417,600,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"143,600,000","126,300,000","167,600,000","11,200,000","94,100,000","144,200,000","276,300,000","256,100,000","94,100,000","269,400,000","207,100,000","71,200,000","121,500,000","80,300,000","18,300,000","67,300,000","-402,300,000","-55,200,000","22,100,000","78,600,000","-89,700,000","135,900,000","-148,300,000","261,000,000"
NormalizedIncome,"189,844,897.959","204,822,000","206,485,100","18,179,200","138,872,000","187,220,000","308,006,000","300,617,000","110,025,000","305,100,000","236,839,724.885","100,456,526.429","90,474,504.249","136,655,000","-5,362,993.421","57,542,176.387","4,350,265.756","127,409,777.778","26,240,000","67,620,000","5,400,000","96,593,805.31","64,944,061.481","26,386,192.469"
InterestIncome,,,,,"1,000,000","500,000","1,400,000","1,000,000","1,000,000","1,200,000","1,000,000",,,,,,,,,,,,,
InterestExpense,"75,000,000","76,700,000","80,200,000","79,500,000","81,500,000","100,900,000","127,200,000","172,800,000","46,500,000","43,300,000","41,300,000","38,300,000","54,200,000",,,,,,,,,,,
NetInterestIncome,"-75,000,000","-76,700,000","-80,200,000","-79,500,000","-80,500,000","-100,400,000","-125,800,000","-171,800,000","-45,500,000","-42,100,000","-40,300,000","-38,300,000","-54,200,000",,,,,,,,,,,
EBIT,"280,800,000","260,200,000","325,100,000","290,400,000","247,500,000","410,500,000","461,500,000","533,400,000","104,300,000","426,800,000","281,200,000","131,000,000","195,400,000","235,000,000","91,700,000","153,500,000","121,900,000","170,200,000","88,900,000","161,100,000","166,900,000","162,800,000","115,900,000","62,100,000"
EBITDA,"381,700,000"
ReconciledCostOfRevenue,"1,145,400,000","1,164,400,000","1,165,400,000","1,053,200,000","942,700,000","1,884,000,000","2,050,600,000","1,918,600,000","1,989,200,000","2,053,400,000","1,729,600,000","1,900,700,000","2,338,700,000","2,147,400,000","1,845,000,000","1,689,800,000","1,431,500,000","1,289,800,000","1,148,900,000","1,092,900,000","973,900,000","856,200,000","884,800,000","908,300,000"
ReconciledDepreciation,"100,900,000","100,300,000","100,800,000","111,500,000","100,300,000","131,500,000","137,100,000","123,100,000","119,000,000","120,000,000","115,600,000","113,000,000","118,700,000","113,400,000","113,500,000","114,000,000","108,800,000","102,900,000","94,600,000","89,000,000","87,800,000","89,200,000","93,900,000","92,900,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"143,600,000","126,300,000","167,600,000","11,200,000","107,000,000","144,200,000","276,300,000","256,100,000","94,100,000","269,400,000","207,100,000","71,200,000","121,500,000","80,300,000","18,300,000","67,300,000","-402,300,000","-55,200,000","22,100,000","78,600,000","-89,700,000","130,200,000","-145,700,000","88,200,000"
TotalUnusualItemsExcludingGoodwill,"-66,000,000","-113,800,000","-57,100,000","-9,600,000","-49,800,000","-71,700,000","-38,200,000","-62,700,000","-24,500,000","-51,000,000","-34,400,000","-33,400,000","32,000,000","-86,700,000","27,300,000","11,500,000","-408,200,000","-223,300,000","-6,900,000","18,300,000","-158,500,000","52,500,000","-310,400,000","100,500,000"
TotalUnusualItems,"-66,000,000","-113,800,000","-57,100,000","-9,600,000","-49,800,000","-71,700,000","-38,200,000","-62,700,000","-24,500,000","-51,000,000","-34,400,000","-33,400,000","32,000,000","-86,700,000","27,300,000","11,500,000","-408,200,000","-223,300,000","-6,900,000","18,300,000","-158,500,000","52,500,000","-310,400,000","100,500,000"
NormalizedEBITDA,"447,700,000","474,300,000","483,000,000","411,500,000","397,600,000","613,700,000","636,800,000","719,200,000","247,800,000","597,800,000","431,200,000","277,400,000","282,100,000","435,100,000","177,900,000","256,000,000","638,900,000","496,400,000","190,400,000","231,800,000","413,200,000","199,500,000","520,200,000","54,500,000"
TaxRateForCalcs,"0.299","0.31","0.319","0.273","0.36","0.4","0.17","0.29","0.35","0.3","0.135","0.124","0.03","0.35","0.133","0.151","0.004","0.182","0.4","0.4","0.4","0.36","0.321","0.385"
TaxEffectOfUnusualItems,"-19,755,102.041","-35,278,000","-18,214,900","-2,620,800","-17,928,000","-28,680,000","-6,494,000","-18,183,000","-8,575,000","-15,300,000","-4,660,275.115","-4,143,473.571","974,504.249","-30,345,000","3,637,006.579","1,742,176.387","-1,549,734.244","-40,690,222.222","-2,760,000","7,320,000","-63,400,000","18,893,805.31","-99,755,938.519","38,686,192.469"
