name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
			OtherGandA,,,,,,,,,,,,,,,"3,000,000","2,000,000","2,000,000","1,000,000","3,000,000","3,000,000","3,000,000","3,000,000","8,000,000","5,000,000","9,000,000","2,000,000","3,000,000","3,000,000","8,000,000","5,000,000",,,,,,"217,706,664.333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"88,000,000","17,000,000",,,,,"31,000,000",,,,,"17,000,000","19,000,000",,"3,000,000","2,000,000","2,000,000","1,000,000","2,000,000","4,000,000","3,000,000","3,000,000","28,000,000","23,000,000","22,000,000","47,000,000","19,000,000","30,000,000","41,000,000","45,000,000",,,,,,"176,018,898.775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"467,000,000","95,000,000","158,000,000","124,000,000","90,000,000","71,000,000","125,000,000","87,000,000","92,000,000","69,000,000","104,000,000","91,000,000","80,000,000","65,000,000","96,000,000","85,000,000","78,000,000","60,000,000","119,000,000","121,000,000","118,000,000","119,000,000","235,000,000","194,000,000","160,000,000","145,000,000","272,000,000","202,000,000","158,000,000","176,000,000","460,000,000","360,000,000","359,000,000","299,000,000","641,916,377.297","398,152,776.031","363,000,000","342,000,000","301,000,000","216,000,000","189,000,000","172,000,000","750,000,000","685,000,000","265,000,000","189,000,000","373,000,000","294,000,000","269,000,000","190,000,000","262,000,000","206,000,000","152,000,000","113,000,000","175,000,000","134,000,000","101,000,000","71,000,000","96,000,000","54,000,000","54,000,000","34,000,000","67,000,000","36,000,000","27,000,000","23,000,000","37,000,000","22,000,000","12,000,000","11,000,000","14,000,000","15,000,000","12,000,000","9,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"60,000,000","18,000,000","14,000,000","12,000,000","16,000,000","14,000,000","12,000,000","18,000,000","13,000,000","19,000,000","21,000,000","19,000,000","22,000,000","29,000,000","27,000,000","37,000,000","33,000,000","23,000,000","38,000,000","31,000,000","34,000,000","30,000,000","59,000,000","68,000,000","52,000,000","44,000,000","52,000,000","45,000,000","41,000,000","54,000,000",,,,,,"46,669,473.776",,,,,,,,,,,,"186,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"60,000,000","18,000,000","14,000,000","12,000,000","16,000,000","14,000,000","12,000,000","18,000,000","13,000,000","19,000,000","21,000,000","19,000,000","22,000,000","29,000,000","27,000,000","37,000,000","33,000,000","23,000,000","38,000,000","31,000,000","34,000,000","30,000,000","59,000,000","68,000,000","52,000,000","44,000,000","52,000,000","45,000,000","41,000,000","54,000,000",,,,,,"46,669,473.776",,,,,,,,,,,,"186,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationIncomeStatement,,,,,,,"12,000,000",,,,,,,,,,,,,,,,"59,000,000","68,000,000","52,000,000","44,000,000","52,000,000","45,000,000","41,000,000","54,000,000",,,,,,"46,669,473.776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"186,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"186,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,,,,,,,,,,,"-2,000,000","3,000,000","4,000,000","7,000,000","2,000,000","4,000,000","3,000,000","4,000,000","3,000,000","3,000,000","4,000,000","6,000,000","39,000,000","6,000,000","3,000,000","6,000,000","172,000,000","3,000,000","10,000,000","9,000,000",,,,,,"12,354,198.907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"1,720,000,000","332,000,000","499,000,000","461,000,000","407,000,000","313,000,000","254,000,000","142,000,000","183,000,000","199,000,000","286,000,000","227,000,000","169,000,000","184,000,000","274,000,000","268,000,000","253,000,000","167,000,000","162,000,000","413,000,000","479,000,000","517,000,000","720,000,000","461,000,000","476,000,000","538,000,000","772,000,000","930,000,000","808,000,000","860,000,000",,,,,,,,,,,,,,,,,,"-185,000,000","-11,000,000",,,,,,,,,,"-87,000,000","68,000,000","68,000,000","24,000,000",,"86,000,000",,"25,000,000","75,000,000","23,000,000",,"-10,000,000",,,,
OperatingIncome,"12,969,000,000","2,150,000,000","3,504,000,000","3,872,000,000","3,443,000,000","3,023,000,000","3,579,000,000","3,443,000,000","2,849,000,000","2,983,000,000","2,900,000,000","3,191,000,000","1,747,000,000","3,403,000,000","3,648,000,000","1,910,000,000","1,369,000,000","1,163,000,000","398,000,000","834,000,000","1,064,000,000","310,000,000","957,000,000","1,630,000,000","2,999,000,000","3,021,000,000","5,070,000,000","4,737,000,000","3,602,000,000","3,912,000,000","2,269,000,000","3,718,000,000","4,904,000,000","4,536,000,000","8,344,961,808.726","8,584,581,312.306","8,471,000,000","6,876,000,000","7,941,000,000","8,355,000,000","5,004,000,000","2,600,000,000","4,984,000,000","5,915,000,000","1,318,000,000","2,002,000,000","3,982,000,000","5,322,000,000","5,235,000,000","2,915,000,000","3,290,000,000","3,430,000,000","4,379,000,000","2,702,000,000","2,750,000,000","2,248,000,000","1,873,000,000","1,336,000,000","2,385,000,000","1,771,000,000","1,771,000,000","795,000,000","822,000,000","886,000,000","832,000,000","529,000,000","392,000,000","501,000,000","388,000,000","373,000,000","406,000,000","400,000,000","330,000,000","293,000,000"
NetNonOperatingInterestIncomeExpense,"-3,594,000,000","-489,000,000","-1,075,000,000","-1,169,000,000","-861,000,000","-838,000,000","-570,000,000","-523,000,000","-853,000,000","-675,000,000","-450,000,000","-725,000,000","-709,000,000","-1,087,000,000","-697,000,000","-686,000,000","-604,000,000","-612,000,000","-304,000,000","-311,000,000","-206,000,000","-177,000,000","-640,000,000","-598,000,000","-911,000,000","-579,000,000","-2,938,000,000","-507,000,000","-379,000,000","-533,000,000","-239,000,000","-594,000,000","-439,000,000","-494,000,000","-697,579,923.333","-384,388,277.948","-288,000,000","-417,000,000","-809,000,000","-685,000,000","-445,000,000","-417,000,000","-845,000,000","-694,000,000","-200,000,000","-162,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,"176,000,000",,,,"113,000,000",,,,"149,000,000",,,,,,,,,,,,"55,000,000",,,,,,,,"74,000,000","88,000,000","120,000,000","119,000,000",,,"226,000,000","165,000,000","117,000,000","56,000,000","69,000,000","48,000,000","283,000,000","316,000,000","93,000,000","125,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"2,175,000,000","274,000,000","584,000,000","764,000,000","553,000,000","634,000,000","505,000,000","225,000,000","554,000,000","459,000,000","308,000,000","378,000,000","454,000,000","812,000,000","514,000,000","342,000,000","325,000,000","351,000,000","25,000,000","164,000,000","133,000,000","80,000,000","197,000,000","192,000,000","668,000,000","356,000,000","375,000,000","418,000,000","418,000,000","505,000,000","560,000,000","682,000,000","324,000,000","613,000,000","1,527,428,842.505","325,297,890.84","514,000,000","582,000,000","926,000,000","741,000,000","514,000,000","465,000,000","1,128,000,000","1,010,000,000","293,000,000","287,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"1,419,000,000","215,000,000","491,000,000","405,000,000","308,000,000","204,000,000","65,000,000","298,000,000","299,000,000","216,000,000","142,000,000","347,000,000","255,000,000","275,000,000","183,000,000","344,000,000","279,000,000","261,000,000","329,000,000","147,000,000","339,000,000","257,000,000","443,000,000","406,000,000","243,000,000","223,000,000","2,563,000,000","89,000,000","-39,000,000","28,000,000",,,"235,000,000",,,"59,090,387.108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-10,332,000,000","-2,150,000,000","-5,838,000,000","-93,000,000","-2,251,000,000","-4,492,000,000","-54,000,000","-900,000,000","-2,567,000,000","104,000,000","-1,382,000,000","858,000,000","-912,000,000","995,000,000","-1,140,000,000","-227,000,000","1,676,000,000","2,184,000,000","-8,859,000,000","-7,262,000,000","956,000,000","-4,163,000,000","-2,766,000,000","-2,783,000,000","300,000,000","923,000,000","-3,598,000,000","134,000,000","-2,895,000,000","604,000,000","-3,875,000,000","-1,311,000,000","-3,090,000,000","37,000,000","-634,481,771.104","-3,637,630,216.166","212,000,000","1,412,000,000","-250,000,000","238,000,000","-420,000,000","-798,000,000","490,000,000","1,159,000,000","1,211,000,000","-283,000,000","-3,026,000,000","732,000,000","1,764,000,000","311,000,000","-762,000,000","821,000,000","1,762,000,000","908,000,000","-582,000,000","241,000,000","550,000,000","424,000,000","-1,075,000,000","456,000,000","456,000,000","107,000,000","630,000,000","432,000,000","-95,000,000","26,000,000","22,000,000","9,000,000","292,000,000","124,000,000","288,000,000","-582,000,000","-404,000,000","31,000,000"
	GainOnSaleOfSecurity,"-1,398,000,000","-1,796,000,000","235,000,000","30,000,000","133,000,000","132,000,000","555,000,000","-740,000,000","-2,202,000,000","51,000,000","-837,000,000","945,000,000","-630,000,000","474,000,000","71,000,000","-361,000,000","2,695,000,000","2,037,000,000","657,000,000","-6,865,000,000","738,000,000","-4,333,000,000","-2,151,000,000","-2,770,000,000","852,000,000","728,000,000","-1,218,000,000","6,000,000","-2,948,000,000","188,000,000","-178,000,000","-226,000,000","-416,000,000","723,000,000","167,987,171.144","-2,758,664,945.945","936,000,000","319,000,000","524,000,000","757,000,000","-46,000,000","-260,000,000","1,743,000,000","1,890,000,000","1,553,000,000","34,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"-931,000,000","-166,000,000","-154,000,000","132,000,000","-743,000,000","84,000,000","-340,000,000","32,000,000","41,000,000","85,000,000","-66,000,000","115,000,000","-24,000,000","73,000,000","-83,000,000","46,000,000","190,000,000","156,000,000","-37,000,000","-349,000,000","218,000,000","-271,000,000","31,000,000","35,000,000","244,000,000","195,000,000","116,000,000","128,000,000","53,000,000","172,000,000",,,,,,"15,537,898.714",,,,,,,,,,,,"26,000,000","260,000,000","119,000,000",,"165,000,000","156,000,000","138,000,000",,"187,000,000","184,000,000","156,000,000",,"220,000,000","220,000,000","133,000,000","179,000,000","127,000,000","150,000,000","90,000,000","88,000,000","89,000,000","35,000,000","94,000,000","-91,000,000","14,000,000","-39,000,000","29,000,000"
	SpecialIncomeCharges,"-8,003,000,000","-188,000,000","-5,919,000,000","-255,000,000","-1,641,000,000","-4,708,000,000","-269,000,000","-192,000,000","-406,000,000","-32,000,000","-479,000,000","-202,000,000","-258,000,000","448,000,000","-1,128,000,000","88,000,000","-1,209,000,000","-9,000,000","-9,479,000,000","-48,000,000","0","441,000,000","-636,000,000","-43,000,000","-792,000,000","0","-2,472,000,000","0","0","244,000,000","-2,766,000,000","-1,085,000,000","-2,674,000,000","-686,000,000","-732,875,954.919","-894,503,168.935","-724,000,000","1,093,000,000","-774,000,000","-519,000,000","-374,000,000","-538,000,000","-1,253,000,000","-731,000,000","-342,000,000","-317,000,000","-2,572,000,000","706,000,000","1,504,000,000","192,000,000","-3,639,000,000","656,000,000","1,606,000,000","770,000,000","-1,258,000,000","54,000,000","366,000,000","268,000,000","-528,000,000","236,000,000","236,000,000","-26,000,000","451,000,000","305,000,000","-245,000,000","-64,000,000","-66,000,000","-80,000,000","257,000,000","30,000,000","379,000,000","-596,000,000","-365,000,000","2,000,000"
		ImpairmentOfCapitalAssets,"4,899,000,000","29,000,000","4,731,000,000","30,000,000","109,000,000","204,000,000","714,000,000","172,000,000","5,000,000","18,000,000","171,000,000","169,000,000","220,000,000",,,,,,,"0","0",,"378,000,000","0","774,000,000",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,,,,,"42,000,000","20,000,000","411,000,000","14,000,000","59,000,000","26,000,000","34,000,000","61,000,000",,,,,,,,,"31,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"3,057,000,000","159,000,000","1,141,000,000","225,000,000","1,532,000,000","4,504,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,674,000,000",,,"894,503,168.935",,,,,,,"1,253,000,000","731,000,000",,"317,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,,,,,,,,,,,,,,"-33,000,000","-1,113,000,000","0","0","0","79,000,000","18,000,000","31,000,000","-43,000,000","-18,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,,"-3,000,000","-7,000,000","-4,000,000","509,000,000","120,000,000","121,000,000","-96,000,000","-9,000,000","-107,000,000","-48,000,000","-79,000,000","423,000,000","-258,000,000","0","0","0","-215,000,000","0","0","244,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,,,,,,,,,,,,,,,,,,,,,,"-10,000,000","-5,000,000","-4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"-957,000,000","-489,000,000","-3,409,000,000","2,610,000,000","331,000,000","-2,307,000,000","2,955,000,000","2,020,000,000","-571,000,000","2,412,000,000","1,068,000,000","3,324,000,000","126,000,000","3,311,000,000","1,811,000,000","997,000,000","2,441,000,000","2,735,000,000","-8,765,000,000","-6,739,000,000","1,814,000,000","-4,030,000,000","-2,449,000,000","-1,751,000,000","2,388,000,000","3,365,000,000","-1,466,000,000","4,364,000,000","328,000,000","3,983,000,000","-1,845,000,000","1,813,000,000","1,375,000,000","4,079,000,000","7,012,900,114.289","4,562,562,818.192","8,395,000,000","7,871,000,000","6,882,000,000","7,908,000,000","4,139,000,000","1,385,000,000","4,629,000,000","6,380,000,000","2,329,000,000","1,557,000,000","1,221,000,000","6,560,000,000","6,402,000,000","2,284,000,000","2,818,000,000","3,927,000,000","5,554,000,000","2,934,000,000","2,168,000,000","2,189,000,000","2,039,000,000","1,433,000,000","1,632,000,000","2,051,000,000","2,051,000,000","730,000,000","798,000,000","1,167,000,000","500,000,000","458,000,000","135,000,000",,"616,000,000","425,000,000","748,000,000","-298,000,000","-143,000,000","294,000,000"
TaxProvision,"-612,000,000","-649,000,000","-1,413,000,000","977,000,000","473,000,000","-632,000,000","-876,000,000","647,000,000","-664,000,000","721,000,000","-158,000,000","979,000,000","-49,000,000","723,000,000","91,000,000","415,000,000","1,320,000,000","955,000,000","78,000,000","-4,503,000,000","185,000,000","-860,000,000","-469,000,000","-323,000,000","1,003,000,000","989,000,000","5,077,000,000","900,000,000","-62,000,000","931,000,000","-706,000,000","380,000,000","-1,060,000,000","553,000,000","1,480,556,890.452","269,848,361.395","2,407,000,000","1,377,000,000","1,137,000,000","2,146,000,000","661,000,000","-239,000,000","1,174,000,000","2,856,000,000","1,624,000,000","306,000,000","-1,113,000,000","-59,000,000","1,506,000,000","358,000,000","216,000,000","947,000,000","1,396,000,000","642,000,000","551,000,000","348,000,000","238,000,000","295,000,000","190,000,000","437,000,000","437,000,000","113,000,000","396,000,000","224,000,000","64,000,000","53,000,000","66,000,000",,"160,000,000","71,000,000","109,000,000","-148,000,000","-129,000,000","19,000,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,556,000,000","154,000,000","158,000,000","243,000,000",,,"406,000,000","280,000,000","303,000,000","305,000,000","283,000,000","96,000,000","278,000,000","362,000,000","135,000,000","72,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"198,000,000","239,000,000","-1,562,000,000","1,654,000,000","-133,000,000","-1,642,000,000","3,786,000,000","1,408,000,000","76,000,000","1,590,000,000","771,000,000","2,230,000,000","16,000,000","2,490,000,000","525,000,000","575,000,000","1,106,000,000","1,776,000,000","-8,569,000,000","-2,117,000,000","1,675,000,000","-3,118,000,000","-1,849,000,000","-1,437,000,000","1,428,000,000","2,515,000,000","-6,451,000,000","3,502,000,000","424,000,000","3,109,000,000","-2,647,000,000","1,669,000,000","2,662,000,000","3,827,000,000","6,775,501,944.015","4,316,169,498.384","6,452,000,000","6,826,000,000","5,917,000,000","6,038,000,000","3,705,000,000","1,604,000,000","3,672,000,000","3,830,000,000","790,000,000","1,363,000,000","3,078,000,000","6,546,000,000","5,009,000,000","2,021,000,000","2,520,000,000","2,940,000,000","4,095,000,000","2,217,000,000","1,573,000,000","1,904,000,000","1,880,000,000","1,171,000,000","825,000,000","1,630,000,000","1,630,000,000","698,000,000","721,000,000","943,000,000","504,000,000","405,000,000","270,000,000","468,000,000","456,000,000","354,000,000","569,000,000","-150,000,000","-14,000,000","275,000,000"
