name,02/29/2020,02/28/2019,02/28/2018,02/28/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012,02/28/2011,02/28/2010,02/28/2009
		PrepaidAssets,"207,352,000","104,090,000","89,653,922","56,505,033","24,432,695","21,615,866","12,865,324","7,878,808","7,437,354","4,350,749","2,280,941","1,414,923"
		RestrictedCash,"28,084,000","9,227,000","6,266,671","2,732,559","1,083,787","606,169","325,688","2,270,269",,,,
		CurrentDeferredAssets,,,,"0","738,406","4,562,034","3,281,063","2,260,446","1,729,758","1,082,932","831,297","481,129"
			CurrentDeferredTaxesAssets,,,,"0","738,406","4,562,034","3,281,063","2,260,446","1,729,758","1,082,932","831,297","481,129"
		OtherCurrentAssets,,"5,692,000","6,690,925","6,084,775","2,597,908","1,271,420","966,997","956,859","10,328,116","25,870,071",,
	TotalNonCurrentAssets,"3,075,465,000","1,989,375,000","1,392,552,935","957,784,946","545,519,459","232,982,103","127,222,145","89,603,336","84,417,875","12,320,915","9,598,968","6,530,448"
		NetPPE,"1,610,348,000","497,742,000","247,265,848","154,306,718","114,629,683","93,575,648","78,625,191","76,115,088","76,726,219","7,515,325","4,991,490","2,471,337"
			GrossPPE,"1,610,348,000","672,648,000","369,572,627","223,836,800","160,653,033","122,135,399","98,713,707","90,859,597","86,145,625","12,093,362","6,779,466","2,985,515"
				Properties,,"0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,,"209,865,000",,,,,,,,,,
				BuildingsAndImprovements,,"62,151,000","63,127,019","58,823,576","60,699,864","63,707,645","65,000,502","64,073,055","63,416,230",,,
				MachineryFurnitureEquipment,,"152,734,000","118,859,708","68,780,417","47,861,324","33,639,318","20,799,450","15,990,044","12,533,173","6,741,774","3,380,216","1,705,330"
				OtherProperties,"1,610,348,000",,,,,,,,,,,
				Leases,,"247,898,000","187,585,900","96,232,807","52,091,845","24,788,436","12,913,755","10,796,498","10,196,222","5,351,588","3,399,250","1,280,185"
			AccumulatedDepreciation,,"-174,906,000","-122,306,779","-69,530,082","-46,023,350","-28,559,751","-20,088,516","-14,744,509","-9,419,406","-4,578,037","-1,787,976","-514,178"
		GoodwillAndOtherIntangibleAssets,"642,751,000","489,004,000","334,886,909","305,129,493","102,216,938","16,017,581","10,045,417","2,279,638","732,348","1,319,368","2,152,962","2,988,615"
			Goodwill,"378,913,000","414,228,000","291,382,129","267,162,685","87,022,517","12,330,326","7,509,824","555,194","548,825","662,583","763,802","762,272"
			OtherIntangibleAssets,"263,838,000","74,776,000","43,504,780","37,966,808","15,194,421","3,687,255","2,535,593","1,724,444","183,523","656,785","1,389,160","2,226,343"
		InvestmentsAndAdvances,"571,601,000","850,695,000","597,605,775","347,732,444","274,356,960","97,359,075","27,137,239","5,491,073",,,,
		NonCurrentAccountsReceivable,,"1,747,000",,,"1,342,999","319,005",,,,,,
		NonCurrentNoteReceivables,,"38,581,000","31,897,784","29,026,063","4,853,110",,,,,,,
		DuefromRelatedPartiesNonCurrent,,"1,747,000",,"0","1,342,999","319,005",,,,,,
		NonCurrentDeferredAssets,"79,534,000","29,179,000","17,361,013","16,188,301","6,654,778","1,708,212","555,528","538,464","490,222","668,096","283,968","131,289"
