name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
InterestExpense,"19,472,000","19,472,000","19,171,000","16,907,000","51,259,000","61,987,000","64,453,000","68,719,000"
NetInterestIncome,"-18,624,000","-18,624,000","-17,926,000","-15,709,000","-49,908,000","-60,294,000","-63,529,000","-68,149,000"
EBIT,"184,637,000","184,637,000","169,475,000","168,583,000","140,481,000","94,137,000","106,519,000","110,182,000"
EBITDA,"227,639,000"
ReconciledCostOfRevenue,"773,598,000","773,598,000","757,518,000","725,094,000","739,324,000","692,035,000","743,206,000","711,371,000"
ReconciledDepreciation,"43,002,000","43,002,000","40,496,000","40,871,000","40,834,000","41,702,000","43,159,000","39,423,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"121,070,000","121,070,000","99,872,000","92,114,000","45,012,000","-966,000","21,557,000","19,636,000"
TotalUnusualItemsExcludingGoodwill,"-491,000","-491,000","-218,000","-177,000","-5,611,000","-27,000,000","501,000","-6,324,000"
TotalUnusualItems,"-491,000","-491,000","-218,000","-177,000","-5,611,000","-27,000,000","501,000","-6,324,000"
NormalizedEBITDA,"228,130,000","228,130,000","210,189,000","209,631,000","186,926,000","162,839,000","149,177,000","155,929,000"
TaxRateForCalcs,"0.246","0.246","0.314","0.363","0.4","0.4","0.397","0.35"
TaxEffectOfUnusualItems,"-120,786","-120,786","-68,452","-64,251","-2,244,400","-10,800,000","198,897","-2,213,400"
