name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
NetNonOperatingInterestIncomeExpense,"-458,939,000","-100,649,000","-124,664,000","-127,743,000","-98,213,000","-137,586,000","-104,267,000","-81,488,000","-67,603,000","-176,241,000","-128,641,000","-253,893,000","-164,769,000","-317,269,000","-212,472,000","127,794,000","-147,328,000","-194,247,000","-7,261,000","120,629,000","40,885,000","10,826,000","-16,139,000","42,063,000","115,860,000","47,090,000","84,265,000","75,057,000","73,899,000","-113,858,000","110,424,000","-39,673,000","15,286,000","58,925,000","18,704,000","36,779,000","110,360,000","160,554,000","48,041,000","73,347,000","66,483,000","-42,473,000","13,936,000","52,546,000","32,538,000","-399,000","7,942,000","52,546,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"192,724,000","60,130,000","27,737,000","181,307,000","56,752,000","168,972,000",,"82,586,000","43,405,000","48,746,000","36,620,000","24,360,000","32,197,000","46,117,000","27,549,000",,"57,468,000","66,294,000","52,462,000","46,973,000","51,993,000","49,185,000","22,558,000","27,834,000","57,844,000","175,693,000","175,715,000","154,922,000","146,033,000",,"224,872,000","170,797,000","128,306,000","117,330,000","151,723,000","124,450,000","184,029,000","280,520,000","131,458,000","120,289,000","119,964,000","98,332,000","79,270,000","145,014,000","87,771,000","116,166,000","120,653,000","145,014,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"33,065,000","14,062,000","6,386,000","309,050,000","5,979,000","306,558,000","6,316,000","6,094,000","6,107,000","6,585,000","12,624,000","49,976,000","10,592,000","10,813,000","2,144,000","10,372,000","9,602,000","9,413,000","9,477,000","8,024,000","7,146,000","6,773,000","6,331,000",,,"-228,224,000","91,450,000","79,865,000","72,134,000","-423,193,000","114,448,000","210,470,000","113,020,000","58,405,000","133,019,000","87,671,000","73,669,000","119,966,000","83,417,000","46,942,000","53,481,000","140,805,000","65,334,000","92,468,000","55,233,000","116,565,000","112,711,000","92,468,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"618,598,000","146,717,000","146,015,000",,"148,986,000",,"97,951,000","157,980,000","104,901,000","218,402,000","152,637,000","228,277,000","186,374,000","352,573,000","242,165,000","-138,166,000","195,194,000","251,128,000","50,246,000","-81,680,000","3,962,000","31,586,000","32,366,000","-14,229,000","-58,016,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"77,210,000","38,991,000","22,854,000","-8,690,000","16,385,000","10,848,000","39,537,000","11,943,000","26,454,000","30,564,000","-37,119,000","40,937,000","42,461,000","41,937,000","69,159,000","56,769,000","37,361,000","-129,320,000","59,092,000","45,447,000","46,362,000","39,904,000","35,469,000","29,313,000","50,376,000","56,574,000","25,062,000","12,362,000","19,608,000","72,305,000","-6,961,000","19,665,000",,,,,"14,600,000",,,"-56,486,000",,"86,618,000","-54,476,000","-43,023,000","-19,695,000","-231,781,000","-2,310,000",,,"8,756,640","-3,674,480","-31,892,634","-2,512,488","-11,027,868","-1,315,626","-41,220,305.5","85,478,228","556,307,191.3","-185,216,738.85","-34,555,829.5","-3,836,215.5","-172,934","-3,030,540","-585,333","-21,576,830","239,767,490","-124,064,522.5","62,013,435","75,793,920","249,569,180","-258,245,460","-2,807,742.5","-13,486,172","-91,597,875","81,979,009","-9,764,566","-7,582,333","39,168,140","-30,041,680","-9,978,530","-16,779,000","-11,366,590","-8,064,000","-3,186,000","-6,364,000"
	GainOnSaleOfSecurity,"-29,547,000","-27,534,000","-9,683,000",,,,"-21,619,000","-23,423,000","-2,064,000","-5,310,000","-14,614,000","-8,348,000","8,748,000","-5,890,000",,"-46,000","-10,533,000","-70,964,000",,,,"-20,138,000",,,"-4,893,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"106,757,000","66,525,000","32,537,000","-8,690,000","16,385,000","10,848,000","61,156,000","35,366,000","28,518,000","41,246,000","-22,505,000","49,285,000","33,713,000","47,827,000","69,159,000","56,815,000","47,894,000","-58,356,000","59,092,000","45,447,000","46,362,000","39,904,000","35,469,000","29,313,000","55,269,000","56,574,000","25,062,000","12,362,000","19,608,000","-41,489,000","16,017,000","19,665,000",,,,,,,,"14,239,000",,"-12,918,000","5,764,000","9,779,000","11,174,000",,,,,"-10,333,240","6,287,280","1,454,130","4,141,104","-7,404,931","2,509,676","-3,207,418.5","1,936,175.2","1,247,786.85","1,730,665.35","1,778,209.5","4,288,160.5","-20,194,927","7,725,018","7,113,809","15,257,110","9,255,582.5","14,309,620","-1,956,658","10,084,728","-16,561,305","-11,164,395","-3,813,969","1,987,020","9,504,095","18,340,994","-1,399,557","309,881",,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,"-5,372,000",,,,,,,,,,,,,,,,,,,,,"-22,978,000",,,,,,"14,600,000",,,"-70,725,000","0","99,536,000","-60,240,000","-52,802,000","-30,869,000","-246,099,000","-2,310,000",,,"19,089,880","-9,961,760","-33,346,764","-6,653,592","-3,622,937","-3,825,302","-38,012,887","83,542,052.8","555,059,404.45","-186,947,404.2","-36,334,039","-8,124,376","20,021,993","-10,755,558","-7,699,142","-36,833,940","230,511,907.5","-138,374,142.5","63,970,093","65,709,192","266,130,485","-247,081,065","1,006,226.5","-15,473,192","-101,101,970","63,638,015","-8,365,009","-7,892,214","39,168,140","-30,041,680","-9,978,530","-16,779,000","-11,366,590","-8,064,000","-3,186,000","-6,364,000"
		WriteOff,,,,,,,,,,"5,372,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"2,702,195,000","561,064,000","811,317,000","558,655,000","771,159,000","424,350,000","472,315,000","538,399,000","520,933,000","146,863,000","318,207,000","260,889,000","666,982,000","-245,092,000","35,818,000","1,496,184,000","191,448,000","519,605,000","113,656,000","447,981,000","716,538,000","362,041,000","325,380,000","354,654,000","815,556,000","146,830,000","399,319,000","368,389,000","591,966,000","-195,366,000","468,518,000","223,332,000","476,214,000","222,936,000","397,001,000","385,842,000","578,137,000","386,803,000","444,558,000","217,255,000","332,116,000","216,188,000","349,662,000","546,097,000","413,245,000","263,679,000","356,207,000","546,097,000","388,976,000","440,082,760","347,971,600","370,550,844","432,962,244","377,271,955","257,778,027","897,490,668.25","270,356,912.4","224,823,323.95","175,683,638.7","191,194,124.5","125,941,120.5","128,607,520","193,588,608","130,030,642","141,703,980","-160,486,427.5","-635,267.5","432,556,261","-21,460,488","-76,365,825","-215,505,235","-73,349,066","210,956,452","511,510,648.5","125,513.5","52,076,915.5","40,600,912","168,496,960","159,965,920","100,272,190","135,667,000","214,748,830","93,888,000","86,553,000","-3,096,000"
